fair-bench: buffer >= 1024 KB (real-file dists may be larger), adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1503    3605 |   16295   17148 |  6.29  6.32 |   8
pha      |    1287    2602 |    6580    6491 |  8.45  8.51 |   8
ph_naive |    1529    3740 |   17346   18625 |  6.29  6.32 |   8
ph_flat  |    1525    3653 |   16182   17218 |  6.29  6.32 |   8
td_naive |     431     520 |    1391    1380 |  6.35  6.39 |   8
td_scl_opt |     501     623 |    1807    1790 |  6.29  6.32 |   8
td_nv_simd |     426     521 |    4681    4562 |  6.35  6.39 |   8
td_simdopt |    1432    3199 |    9408    9559 |  6.29  6.32 |   8
huf0     |    1370     -   |    2970     -   |  6.40   -   |   8
huf0_4x2 |    1366    2877 |    2975    2988 |  6.40  6.40 |   8
fse_stk  |     661     919 |     671     684 |  8.86  8.86 |   8
fse_x8y1 |     379     902 |     659     688 |  8.86  8.86 |   8
oo_huff  |    1798     -   |    3318     -   |  6.40   -   |   8
oo_tans  |     731     -   |    2595     -   |  8.84   -   |   8

== english          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1496    2230 |    6798    6614 |  1.86  1.87 |   8
pha      |    1494    2218 |    6394    6901 |  1.86  1.87 |   8
ph_naive |    1246    1744 |    4589    4729 |  1.85  1.85 |   8
ph_flat  |    1377    2009 |    5747    5973 |  1.86  1.86 |   8
td_naive |      67      68 |     501     501 |  1.87  1.88 |   8
td_scl_opt |     153     160 |     794     809 |  1.86  1.87 |   8
td_nv_simd |      66      67 |    2278    2286 |  1.87  1.88 |   8
td_simdopt |    1397    2151 |    3303    3430 |  1.86  1.87 |   8
huf0     |    1794     -   |    2715     -   |  1.88   -   |   8
huf0_4x2 |    1798    2897 |    2793    2887 |  1.88  1.88 |   8
fse_stk  |     767     915 |     855     868 |  1.89  1.89 |   8
fse_x8y1 |    1102    1996 |    1997    2143 |  1.89  1.89 |   8
oo_huff  |    2542     -   |    3342     -   |  1.88   -   |   8
oo_tans  |     830     -   |    2622     -   |  1.89   -   |   8

== html_wiki        == n=2048 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1251    1773 |    4721    4744 |  1.45  1.40 |  16
pha      |    1162    1571 |    4473    4458 |  1.45  1.41 |  16
ph_naive |     870    1106 |    2664    2673 |  1.40  1.35 |  16
ph_flat  |    1164    1657 |    4316    4484 |  1.45  1.40 |  16
td_naive |      70      74 |     385     373 |  1.46  1.41 |  16
td_scl_opt |     163     189 |     612     614 |  1.45  1.40 |  16
td_nv_simd |      70      73 |    1572    1538 |  1.46  1.41 |  16
td_simdopt |    1141    1773 |    2634    2630 |  1.45  1.40 |  16
huf0     |    1775     -   |    2254     -   |  1.47   -   |  16
huf0_4x2 |    1780    2828 |    2125    2175 |  1.47  1.44 |  16
fse_stk  |     742     878 |     833     850 |  1.48  1.46 |  16
fse_x8y1 |    1153    1938 |    1980    2113 |  1.48  1.46 |  16
oo_huff  |    2328     -   |    3186     -   |  1.47   -   |  16
oo_tans  |     808     -   |    2501     -   |  1.48   -   |  16

== prose_pride      == n=1536 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1244    1758 |    4971    5050 |  1.72  1.72 |  12
pha      |    1180    1627 |    4949    4839 |  1.72  1.72 |  12
ph_naive |    1009    1355 |    3498    3674 |  1.68  1.66 |  12
ph_flat  |    1194    1664 |    4780    4754 |  1.72  1.71 |  12
td_naive |      61      63 |     451     448 |  1.73  1.72 |  12
td_scl_opt |     117     117 |     625     605 |  1.72  1.72 |  12
td_nv_simd |      62      63 |    1949    1916 |  1.73  1.72 |  12
td_simdopt |    1159    1765 |    2846    2754 |  1.72  1.72 |  12
huf0     |    1752     -   |    2594     -   |  1.75   -   |  12
huf0_4x2 |    1726    2830 |    2511    2602 |  1.75  1.74 |  12
fse_stk  |     742     883 |     836     853 |  1.76  1.76 |  12
fse_x8y1 |    1061    1941 |    1950    2142 |  1.76  1.76 |  12
oo_huff  |    2351     -   |    3264     -   |  1.75   -   |  12
oo_tans  |     808     -   |    2525     -   |  1.76   -   |  12

== image_jpeg       == n=1152 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1305    1859 |    5379    5067 |  1.01  1.00 |   9
pha      |    1259    1706 |    4660    4600 |  1.01  1.01 |   9
ph_naive |     593     733 |    1562    1667 |  0.94  0.94 |   9
ph_flat  |    1155    1647 |    4258    4383 |  1.00  1.00 |   9
td_naive |      35      36 |     264     263 |  1.00  1.00 |   9
td_scl_opt |     164     162 |     782     699 |  1.01  1.00 |   9
td_nv_simd |      35      36 |    1084    1065 |  1.00  1.00 |   9
td_simdopt |    1229    1956 |    2718    2572 |  1.01  1.00 |   9
huf0       (n/a)
huf0_4x2   (n/a)
fse_stk    (n/a)
fse_x8y1 |    1229    1959 |    2028    2147 |  1.01  1.01 |   9
oo_huff  |    2731     -   |    3255     -   |  1.01   -   |   9
oo_tans  |     819     -   |    2424     -   |  1.01   -   |   9

== json_api         == n=1152 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1222    1743 |    4426    4564 |  1.51  1.51 |   9
pha      |    1175    1605 |    4441    4648 |  1.51  1.51 |   9
ph_naive |     962    1282 |    3114    3237 |  1.47  1.47 |   9
ph_flat  |    1136    1627 |    4118    4335 |  1.51  1.51 |   9
td_naive |      92      98 |     408     403 |  1.52  1.52 |   9
td_scl_opt |     194     222 |     599     598 |  1.51  1.51 |   9
td_nv_simd |      94      98 |    1804    1791 |  1.52  1.52 |   9
td_simdopt |    1149    1748 |    2658    2679 |  1.51  1.51 |   9
huf0     |    1782     -   |    2388     -   |  1.53   -   |   9
huf0_4x2 |    1768    2864 |    2306    2425 |  1.53  1.53 |   9
fse_stk  |     752     902 |     851     864 |  1.54  1.54 |   9
fse_x8y1 |    1071    1925 |    1993    2151 |  1.54  1.54 |   9
oo_huff  |    2384     -   |    3283     -   |  1.53   -   |   9
oo_tans  |     810     -   |    2533     -   |  1.54   -   |   9

== dna_fasta        == n=1536 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1439    2623 |    9222    9852 |  3.52  3.51 |  12
pha      |    1346    2302 |    6345    6382 |  3.79  3.78 |  12
ph_naive |    1420    2579 |    9449    9567 |  3.52  3.51 |  12
ph_flat  |    1436    2537 |    9579    9591 |  3.52  3.51 |  12
td_naive |     138     146 |     860     848 |  3.53  3.53 |  12
td_scl_opt |     188     200 |     990     902 |  3.52  3.51 |  12
td_nv_simd |     140     145 |    3465    3379 |  3.53  3.53 |  12
td_simdopt |    1397    2473 |    4253    4025 |  3.52  3.51 |  12
huf0     |    1585     -   |    2880     -   |  3.54   -   |  12
huf0_4x2 |    1579    2871 |    2959    2937 |  3.54  3.53 |  12
fse_stk  |     718     885 |     844     861 |  3.83  3.83 |  12
fse_x8y1 |     742    1910 |    1939    2123 |  3.83  3.83 |  12
oo_huff  |    2152     -   |    3279     -   |  3.54   -   |  12
oo_tans  |     777     -   |    2538     -   |  3.83   -   |  12

== chinese_text     == n=1536 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1266    1777 |    4974    4934 |  1.35  1.33 |  12
pha      |    1194    1556 |    4779    4241 |  1.35  1.34 |  12
ph_naive |     913    1144 |    2834    2833 |  1.32  1.29 |  12
ph_flat  |    1142    1605 |    3947    4185 |  1.35  1.33 |  12
td_naive |      50      51 |     371     357 |  1.36  1.34 |  12
td_scl_opt |     125     132 |     632     633 |  1.35  1.33 |  12
td_nv_simd |      50      51 |    1659    1703 |  1.36  1.34 |  12
td_simdopt |    1224    1844 |    2752    2716 |  1.35  1.33 |  12
huf0     |    1840     -   |    2288     -   |  1.37   -   |  12
huf0_4x2 |    1839    2843 |    2027    2072 |  1.37  1.36 |  12
fse_stk  |     761     888 |     847     862 |  1.38  1.38 |  12
fse_x8y1 |    1214    1950 |    1997    2141 |  1.38  1.38 |  12
oo_huff  |    2522     -   |    3331     -   |  1.37   -   |  12
oo_tans  |     827     -   |    2548     -   |  1.38   -   |  12

== calgary_pic      == n=1536 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb phtd PB mismatch blk 0
| blds
ph       |    1306    3186 |   10866   12866 |  4.68  4.68 |  12
pha      |    1109    2208 |    4137    4429 |  7.09  7.10 |  12
ph_naive |    1107    2233 |    6819    7340 |  4.30  4.19 |  12
ph_flat  |    1278    3152 |   10437   12458 |  4.65  4.67 |  12
td_naive |     318     393 |    1038    1025 |  4.71  4.67 |  12
td_scl_opt |     481     726 |    1571    1593 |  4.68  4.68 |  12
td_nv_simd |     315     402 |    3532    3513 |  4.71  4.67 |  12
td_simdopt   (n/a)
huf0     |    1318     -   |    2495     -   |  4.84   -   |  12
huf0_4x2 |    1326    2862 |    2411    2475 |  4.84  4.82 |  12
fse_stk  |     651     900 |     667     683 |  6.63  6.61 |  12
fse_x8y1 |     378     891 |     655     683 |  6.70  6.61 |  12
oo_huff  |    2361     -   |    3294     -   |  4.84   -   |  12
oo_tans  |     817     -   |    2589     -   |  6.67   -   |  12

