fair-bench: buffer >= 1024 KB (real-file dists may be larger), adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph_naive |     961    1254 |    3244    3409 |  1.47  1.47 |   9
ph_flat  |    1158    1622 |    4137    4356 |  1.50  1.50 |   9
td_naive |      91      97 |     398     400 |  1.52  1.52 |   9
td_scl_opt |     193     220 |     596     592 |  1.51  1.51 |   9
td_nv_simd |      91      96 |    1867    1851 |  1.52  1.52 |   9
td_simdopt |    1127    1723 |    2641    2676 |  1.51  1.51 |   9
huf0     |    1753     -   |    2336     -   |  1.53   -   |   9
huf0_4x2 |    1773    2848 |    2263    2330 |  1.53  1.53 |   9
fse_stk  |     757     892 |     838     856 |  1.54  1.54 |   9
fse_x8y1 |    1056    1947 |    1983    2097 |  1.54  1.54 |   9
oo_huff  |    2359     -   |    3233     -   |  1.53   -   |   9
oo_tans  |     808     -   |    2493     -   |  1.54   -   |   9

== dna_fasta        == n=1472 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1413    2513 |   10150   10439 |  3.52  3.51 |  12
pha      |    1328    2307 |    6496    6702 |  3.79  3.78 |  12
ph_naive |    1401    2527 |   10345    9910 |  3.52  3.51 |  12
ph_flat  |    1434    2530 |   10537   10377 |  3.52  3.51 |  12
td_naive |     134     140 |     846     845 |  3.53  3.53 |  12
td_scl_opt |     187     196 |     985     898 |  3.52  3.51 |  12
td_nv_simd |     135     144 |    3443    3403 |  3.53  3.53 |  12
td_simdopt |    1372    2496 |    4147    3953 |  3.52  3.51 |  12
huf0     |    1550     -   |    2789     -   |  3.55   -   |  12
huf0_4x2 |    1572    2821 |    2877    2936 |  3.55  3.53 |  12
fse_stk  |     706     897 |     843     856 |  3.83  3.83 |  12
fse_x8y1 |     741    1924 |    1906    2120 |  3.83  3.83 |  12
oo_huff  |    2144     -   |    3227     -   |  3.54   -   |  12
oo_tans  |     767     -   |    2530     -   |  3.83   -   |  12

== chinese_text     == n=1456 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1250    1760 |    4913    4928 |  1.35  1.33 |  12
pha      |    1198    1437 |    4913    4539 |  1.35  1.33 |  12
ph_naive |     909    1158 |    2789    2909 |  1.32  1.29 |  12
ph_flat  |    1131    1593 |    3989    4129 |  1.35  1.33 |  12
td_naive |      49      50 |     366     358 |  1.36  1.33 |  12
td_scl_opt |     123     128 |     637     624 |  1.35  1.33 |  12
td_nv_simd |      49      50 |    1661    1629 |  1.36  1.33 |  12
td_simdopt |    1199    1814 |    2728    2698 |  1.35  1.33 |  12
huf0     |    1823     -   |    2235     -   |  1.37   -   |  12
huf0_4x2 |    1828    2836 |    2000    2039 |  1.37  1.36 |  12
fse_stk  |     767     892 |     839     860 |  1.38  1.38 |  12
fse_x8y1 |    1217    1940 |    1984    2148 |  1.38  1.38 |  12
oo_huff  |    2461     -   |    3232     -   |  1.37   -   |  12
oo_tans  |     813     -   |    2462     -   |  1.38   -   |  12

== calgary_pic      == n=1504 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
