fair-bench: 1 MB-class buffer = 1024 KB, adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     820     -   |    2480     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1389    2485 |    8637    9028 |  3.49  3.49 |   8
pha      |    1313    2227 |    6238    5943 |  3.76  3.77 |   8
ph_naive |    1383    2444 |    8928    8871 |  3.48  3.49 |   8
ph_flat  |    1377    2506 |    8920    8935 |  3.49  3.49 |   8
td_naive |     131     137 |     844     846 |  3.51  3.52 |   8
td_scl_opt |     174     186 |     883     876 |  3.49  3.49 |   8
td_nv_simd |     126     133 |    3292    3283 |  3.51  3.52 |   8
td_simdopt |    1309    2343 |    3921    3753 |  3.49  3.49 |   8
huf0     |    1496     -   |    2810     -   |  3.53   -   |   8
huf0_4x2 |    1537    2770 |    2714    2774 |  3.53  3.53 |   8
fse_stk  |     680     870 |     798     828 |  3.83  3.83 |   8
fse_x8y1 |     728    1887 |    1831    2022 |  3.83  3.83 |   8
oo_huff  |    2108     -   |    3206     -   |  3.53   -   |   8
oo_tans  |     738     -   |    2490     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1214    1723 |    4902    4761 |  1.34  1.33 |   8
pha      |    1117    1496 |    4451    4058 |  1.34  1.34 |   8
ph_naive |     862    1086 |    2435    2563 |  1.29  1.28 |   8
ph_flat  |    1117    1516 |    3854    3910 |  1.33  1.32 |   8
td_naive |      45      45 |     350     339 |  1.34  1.33 |   8
td_scl_opt |     115     113 |     623     604 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1697    1666 |  1.34  1.33 |   8
td_simdopt |    1169    1740 |    2726    2544 |  1.34  1.33 |   8
huf0     |    1749     -   |    2078     -   |  1.36   -   |   8
huf0_4x2 |    1809    2856 |    1902    1965 |  1.36  1.36 |   8
fse_stk  |     751     870 |     825     856 |  1.37  1.37 |   8
fse_x8y1 |    1213    1934 |    1997    2145 |  1.37  1.37 |   8
oo_huff  |    2450     -   |    3316     -   |  1.36   -   |   8
oo_tans  |     812     -   |    2485     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1265    2995 |   10496   11516 |  4.60  4.57 |   8
pha      |    1153    2401 |    6089    6475 |  6.13  6.07 |   8
ph_naive |    1050    1970 |    5628    6493 |  4.12  3.99 |   8
ph_flat  |    1237    2813 |    9902   11221 |  4.57  4.52 |   8
td_naive |     238     284 |     971     940 |  4.63  4.59 |   8
td_scl_opt |     366     477 |    1490    1489 |  4.60  4.58 |   8
td_nv_simd |     233     277 |    3349    3244 |  4.63  4.59 |   8
td_simdopt |    1125    2760 |    7872    8026 |  4.60  4.58 |   8
huf0     |    1223     -   |    2543     -   |  4.79   -   |   8
huf0_4x2 |    1230    2717 |    2644    2832 |  4.79  4.78 |   8
fse_stk  |     633     855 |     646     675 |  6.42  6.50 |   8
fse_x8y1 |     359     865 |     643     677 |  6.49  6.50 |   8
oo_huff  |    1667     -   |    3218     -   |  4.79   -   |   8
oo_tans  |     701     -   |    2517     -   |  6.44   -   |   8

