fair-bench: 1 MB-class buffer = 1024 KB, adaptive 10-20 runs x 50 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1671    8319 |   35771   40681 |  6.29  6.32 |   8
pha      |    1260    3133 |    5307    5413 |  8.45  8.51 |   8
ph_naive |    1678    8715 |   35771   40988 |  6.29  6.32 |   8
ph_flat  |    1678    8700 |   36017   41036 |  6.29  6.32 |   8
td_naive |     292     340 |     357     355 |  6.35  6.39 |   8
td_scl_opt |     346     415 |     826     825 |  6.29  6.32 |   8
td_nv_simd |     291     339 |    2764    2763 |  6.35  6.39 |   8
td_simdopt |    1637    7805 |    8823    8859 |  6.31  6.35 |   8
huf0     |    1148     -   |    1938     -   |  6.40   -   |   8
huf0_4x2 |    1148    2058 |    1970    1999 |  6.40  6.40 |   8
fse_stk  |     574     755 |     539     548 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     548 |  8.86  8.86 |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1571    3180 |    9433   10135 |  1.86  1.87 |   8
pha      |    1561    3172 |    9469   10158 |  1.86  1.87 |   8
ph_naive |    1408    2610 |    5551    5894 |  1.85  1.85 |   8
ph_flat  |    1425    2652 |    7151    7547 |  1.86  1.86 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1669    1673 |  1.87  1.88 |   8
td_simdopt |    1439    2920 |    3171    3180 |  1.87  1.87 |   8
huf0     |    1307     -   |    1885     -   |  1.88   -   |   8
huf0_4x2 |    1306    2075 |    1875    1942 |  1.88  1.88 |   8
fse_stk  |     620     755 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     713     967 |    1325    1387 |  1.89  1.89 |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1060    2190 |    5861    6259 |  1.41  1.40 |   8
pha      |    1041    2134 |    5864    6255 |  1.41  1.40 |   8
ph_naive |     606     909 |    1464    1585 |  1.33  1.32 |   8
ph_flat  |     986    1970 |    4376    5043 |  1.40  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
