fair-bench: 1 MB-class buffer = 1024 KB, adaptive 10-20 runs x 10 reps (top-2 within 5% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1522    3460 |   17594   18236 |  6.29  6.32 |   8
pha      |    1244    2404 |    6093    6286 |  8.45  8.51 |   8
ph_naive |    1407    3448 |   15936   16967 |  6.29  6.32 |   8
ph_flat  |    1448    3542 |   16058   16831 |  6.29  6.32 |   8
td_naive |     409     493 |    1301    1338 |  6.35  6.39 |   8
td_scl_opt |     489     606 |    1923    2015 |  6.29  6.32 |   8
td_nv_simd |     402     488 |    4296    4382 |  6.35  6.39 |   8
td_simdopt |    1440    3165 |    9413    9594 |  6.29  6.32 |   8
huf0     |    1314     -   |    2809     -   |  6.40   -   |   8
huf0_4x2 |    1291    2734 |    2909    2813 |  6.40  6.40 |   8
fse_stk  |     644     898 |     665     669 |  8.86  8.86 |   8
fse_x8y1 |     375     887 |     646     675 |  8.86  8.86 |   8
oo_huff  |    1745     -   |    3284     -   |  6.40   -   |   8
oo_tans  |     713     -   |    2590     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1434    2082 |    6359    6903 |  1.86  1.87 |   8
pha      |    1383    2114 |    6367    6616 |  1.86  1.87 |   8
ph_naive |    1191    1616 |    4607    4545 |  1.85  1.85 |   8
ph_flat  |    1316    1892 |    5453    5638 |  1.86  1.86 |   8
td_naive |      64      65 |     490     492 |  1.87  1.88 |   8
td_scl_opt |     147     153 |     771     806 |  1.86  1.87 |   8
td_nv_simd |      63      64 |    2174    2209 |  1.87  1.88 |   8
td_simdopt |    1355    2053 |    3324    3265 |  1.86  1.87 |   8
huf0     |    1744     -   |    2726     -   |  1.88   -   |   8
huf0_4x2 |    1752    2744 |    2599    2668 |  1.88  1.88 |   8
fse_stk  |     717     859 |     833     832 |  1.89  1.89 |   8
fse_x8y1 |    1021    1938 |    1837    2173 |  1.89  1.89 |   8
oo_huff  |    2519     -   |    3270     -   |  1.88   -   |   8
oo_tans  |     790     -   |    2619     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1201    1700 |    4762    4832 |  1.41  1.40 |   8
pha      |    1156    1736 |    4603    4719 |  1.41  1.40 |   8
ph_naive |     777    1005 |    2169    2520 |  1.33  1.32 |   8
ph_flat  |    1158    1692 |    4259    4599 |  1.40  1.40 |   8
td_naive |      50      50 |     361     367 |  1.40  1.40 |   8
td_scl_opt |     112     119 |     601     604 |  1.41  1.40 |   8
td_nv_simd |      48      49 |    1550    1603 |  1.40  1.40 |   8
td_simdopt |    1119    1768 |    2661    2602 |  1.41  1.40 |   8
huf0     |    1736     -   |    2293     -   |  1.44   -   |   8
huf0_4x2 |    1751    2775 |    2147    2192 |  1.44  1.44 |   8
fse_stk  |     736     883 |     813     837 |  1.45  1.46 |   8
fse_x8y1 |    1184    1893 |    1956    2086 |  1.45  1.46 |   8
oo_huff  |    2287     -   |    3169     -   |  1.44   -   |   8
oo_tans  |     785     -   |    2472     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1229    1825 |    4808    5135 |  1.72  1.72 |   8
pha      |    1136    1640 |    4777    5058 |  1.72  1.72 |   8
ph_naive |     998    1360 |    3472    3696 |  1.67  1.66 |   8
ph_flat  |    1157    1666 |    4749    4728 |  1.71  1.71 |   8
td_naive |      58      60 |     431     430 |  1.73  1.72 |   8
td_scl_opt |     106     107 |     603     601 |  1.72  1.72 |   8
td_nv_simd |      58      59 |    1857    1959 |  1.73  1.72 |   8
td_simdopt |    1163    1762 |    2820    2721 |  1.72  1.72 |   8
huf0     |    1749     -   |    2709     -   |  1.74   -   |   8
huf0_4x2 |    1750    2854 |    2527    2600 |  1.74  1.74 |   8
fse_stk  |     722     881 |     812     844 |  1.76  1.76 |   8
fse_x8y1 |    1039    1917 |    1907    2063 |  1.76  1.76 |   8
oo_huff  |    2275     -   |    3141     -   |  1.75   -   |   8
oo_tans  |     798     -   |    2494     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1328    2002 |    5299    5447 |  1.00  1.00 |   8
pha      |    1314    1948 |    5277    5665 |  1.00  1.00 |   8
ph_naive |     563     705 |    1502    1468 |  0.94  0.94 |   8
ph_flat  |    1065    1517 |    3823    3999 |  1.00  1.00 |   8
td_naive |      33      34 |     260     259 |  1.00  1.00 |   8
td_scl_opt |     158     155 |     785     731 |  1.00  1.00 |   8
td_nv_simd |      33      34 |    1049    1065 |  1.00  1.00 |   8
td_simdopt |    1202    2015 |    2688    2726 |  1.00  1.00 |   8
huf0     |    1771     -   |    1463     -   |  1.01   -   |   8
huf0_4x2 |    1736    2754 |    1348    1437 |  1.01  1.01 |   8
fse_stk  |     728     856 |     812     842 |  1.01  1.01 |   8
fse_x8y1 |    1246    1915 |    1996    2112 |  1.01  1.01 |   8
oo_huff  |    2654     -   |    3265     -   |  1.01   -   |   8
oo_tans  |     807     -   |    2401     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1175    1653 |    4304    4671 |  1.51  1.51 |   8
pha      |    1140    1596 |    4326    4380 |  1.51  1.51 |   8
ph_naive |     932    1239 |    3062    3177 |  1.46  1.46 |   8
ph_flat  |    1132    1570 |    3995    4122 |  1.50  1.50 |   8
td_naive |      50      51 |     393     391 |  1.51  1.51 |   8
td_scl_opt |     102     106 |     576     586 |  1.51  1.51 |   8
td_nv_simd |      52      51 |    1800    1794 |  1.51  1.51 |   8
td_simdopt |    1124    1691 |    2604    2627 |  1.51  1.51 |   8
huf0     |    1756     -   |    2372     -   |  1.53   -   |   8
huf0_4x2 |    1790    2823 |    2312    2403 |  1.53  1.53 |   8
fse_stk  |     738     861 |     804     823 |  1.53  1.54 |   8
fse_x8y1 |    1131    1923 |    1931    2071 |  1.54  1.54 |   8
oo_huff  |    2348     -   |    3110     -   |  1.53   -   |   8
oo_tans  |     816     -   |    2481     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1367    2475 |    8539    9222 |  3.49  3.49 |   8
pha      |    1266    2197 |    5780    5982 |  3.76  3.77 |   8
ph_naive |    1316    2479 |    9455    8864 |  3.48  3.49 |   8
ph_flat  |    1383    2455 |    8539    8767 |  3.49  3.49 |   8
td_naive |     126     133 |     833     827 |  3.51  3.52 |   8
td_scl_opt |     171     179 |     878     880 |  3.49  3.49 |   8
td_nv_simd |     129     133 |    3171    3290 |  3.51  3.52 |   8
td_simdopt |    1319    2406 |    3847    3855 |  3.49  3.49 |   8
huf0     |    1482     -   |    2855     -   |  3.53   -   |   8
huf0_4x2 |    1535    2728 |    2894    2955 |  3.53  3.53 |   8
fse_stk  |     682     874 |     830     830 |  3.83  3.83 |   8
fse_x8y1 |     750    1899 |    1835    2069 |  3.83  3.83 |   8
oo_huff  |    2049     -   |    3248     -   |  3.53   -   |   8
oo_tans  |     760     -   |    2530     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1218    1726 |    4864    4810 |  1.34  1.33 |   8
pha      |    1137    1464 |    4698    3984 |  1.34  1.34 |   8
ph_naive |     834    1080 |    2599    2749 |  1.29  1.28 |   8
ph_flat  |    1084    1515 |    3938    3869 |  1.33  1.32 |   8
td_naive |      45      46 |     345     348 |  1.34  1.33 |   8
td_scl_opt |     117     114 |     624     594 |  1.34  1.33 |   8
td_nv_simd |      45      45 |    1588    1571 |  1.34  1.33 |   8
td_simdopt |    1184    1747 |    2744    2557 |  1.34  1.33 |   8
huf0     |    1807     -   |    2080     -   |  1.36   -   |   8
huf0_4x2 |    1727    2779 |    1813    1862 |  1.36  1.36 |   8
fse_stk  |     722     850 |     831     842 |  1.37  1.37 |   8
fse_x8y1 |    1198    1836 |    1919    2063 |  1.37  1.37 |   8
oo_huff  |    2289     -   |    3000     -   |  1.36   -   |   8
oo_tans  |     802     -   |    2438     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1217    2892 |   10635   11422 |  4.60  4.57 |   8
pha      |    1098    2347 |    6194    6722 |  6.13  6.07 |   8
ph_naive |    1028    1986 |    5525    6761 |  4.12  3.99 |   8
ph_flat  |    1210    2786 |    9559   10810 |  4.57  4.52 |   8
td_naive |     234     272 |     918     953 |  4.63  4.59 |   8
td_scl_opt |     362     464 |    1637    1681 |  4.60  4.58 |   8
td_nv_simd |     231     270 |    3107    3225 |  4.63  4.59 |   8
td_simdopt |    1132    2773 |    8041    8116 |  4.60  4.58 |   8
huf0     |    1289     -   |    2499     -   |  4.79   -   |   8
huf0_4x2 |    1246    2816 |    2583    2633 |  4.79  4.78 |   8
fse_stk  |     607     857 |     644     656 |  6.42  6.50 |   8
fse_x8y1 |     356     848 |     629     645 |  6.49  6.50 |   8
oo_huff  |    1547     -   |    3116     -   |  4.79   -   |   8
oo_tans  |     675     -   |    2533     -   |  6.44   -   |   8

