| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| -------------------- | ----------- | ----------- | ----------- | ------ | --------------- |
| lz4 1.10.0           |    904 MB/s |   5221 MB/s |   100885847 |  47.59 | silesia.tar     |
| misa77 0.4.0 -0      |    133 MB/s |  12577 MB/s |    90391865 |  42.64 | silesia.tar     |
| misa77 0.4.0 -1      |    123 MB/s |  10170 MB/s |    84046598 |  39.65 | silesia.tar     |
| misa77 0.4.0 -2      |   6.73 MB/s |  10071 MB/s |    77162583 |  36.40 | silesia.tar     |
| misa77 0.4.0 safe -0 |    132 MB/s |  12407 MB/s |    90391865 |  42.64 | silesia.tar     |
| misa77 0.4.0 safe -1 |    125 MB/s |  10049 MB/s |    84046598 |  39.65 | silesia.tar     |
| lz4hc 1.10.0 -9      |   50.6 MB/s |   4864 MB/s |    77888133 |  36.74 | silesia.tar     |
| lz4hc 1.10.0 -12     |   16.6 MB/s |   4862 MB/s |    77266283 |  36.45 | silesia.tar     |
| snappy 1.2.2         |    961 MB/s |   3423 MB/s |   101554604 |  47.91 | silesia.tar     |
| zxc 0.13.1 -3        |    275 MB/s |   7999 MB/s |    97023091 |  45.77 | silesia.tar     |
| zxc 0.13.1 -4        |    189 MB/s |   7621 MB/s |    91571976 |  43.20 | silesia.tar     |
| zxc 0.13.1 -5        |    109 MB/s |   7131 MB/s |    85426572 |  40.30 | silesia.tar     |
| zxc 0.13.1 -7        |   9.67 MB/s |   4307 MB/s |    69976135 |  33.01 | silesia.tar     |
| zstd 1.5.7 -1        |    713 MB/s |   1634 MB/s |    73220851 |  34.54 | silesia.tar     |
| lzav 5.11 -1         |    726 MB/s |   4357 MB/s |    84648838 |  39.93 | silesia.tar     |
| lzav 5.11 -2         |    169 MB/s |   4232 MB/s |    74136482 |  34.97 | silesia.tar     |
| lz4 1.10.0           |    639 MB/s |   4302 MB/s |    20139988 |  48.58 | silesia/webster |
| misa77 0.4.0 -0      |    125 MB/s |  13086 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.4.0 -1      |    131 MB/s |  11401 MB/s |    14653209 |  35.34 | silesia/webster |
| misa77 0.4.0 -2      |   4.36 MB/s |   9218 MB/s |    13452590 |  32.45 | silesia/webster |
| misa77 0.4.0 safe -0 |    123 MB/s |  12956 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.4.0 safe -1 |    131 MB/s |  11226 MB/s |    14653209 |  35.34 | silesia/webster |
| lz4hc 1.10.0 -9      |   47.2 MB/s |   3939 MB/s |    14001448 |  33.77 | silesia/webster |
| lz4hc 1.10.0 -12     |   21.8 MB/s |   3940 MB/s |    13823143 |  33.34 | silesia/webster |
| snappy 1.2.2         |    690 MB/s |   2774 MB/s |    19984210 |  48.20 | silesia/webster |
| zxc 0.13.1 -3        |    183 MB/s |   6626 MB/s |    17050225 |  41.13 | silesia/webster |
| zxc 0.13.1 -4        |    137 MB/s |   6568 MB/s |    16781584 |  40.48 | silesia/webster |
| zxc 0.13.1 -5        |   90.1 MB/s |   6371 MB/s |    15942227 |  38.45 | silesia/webster |
| zxc 0.13.1 -7        |   8.63 MB/s |   4490 MB/s |    11886025 |  28.67 | silesia/webster |
| zstd 1.5.7 -1        |    566 MB/s |   1622 MB/s |    13661986 |  32.95 | silesia/webster |
| lzav 5.11 -1         |    502 MB/s |   3522 MB/s |    15120347 |  36.47 | silesia/webster |
| lzav 5.11 -2         |    129 MB/s |   3849 MB/s |    12544041 |  30.26 | silesia/webster |
| lz4 1.10.0           |    944 MB/s |   5172 MB/s |    26435667 |  51.61 | silesia/mozilla |
| misa77 0.4.0 -0      |    118 MB/s |  11163 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.4.0 -1      |    120 MB/s |  10359 MB/s |    23410515 |  45.71 | silesia/mozilla |
| misa77 0.4.0 -2      |   7.81 MB/s |  11123 MB/s |    23008654 |  44.92 | silesia/mozilla |
| misa77 0.4.0 safe -0 |    116 MB/s |  11025 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.4.0 safe -1 |    119 MB/s |  10112 MB/s |    23410515 |  45.71 | silesia/mozilla |
| lz4hc 1.10.0 -9      |   57.8 MB/s |   5175 MB/s |    22078791 |  43.11 | silesia/mozilla |
| lz4hc 1.10.0 -12     |   9.72 MB/s |   5194 MB/s |    22014250 |  42.98 | silesia/mozilla |
| snappy 1.2.2         |    955 MB/s |   3111 MB/s |    26568762 |  51.87 | silesia/mozilla |
| zxc 0.13.1 -3        |    260 MB/s |   6840 MB/s |    26803592 |  52.33 | silesia/mozilla |
| zxc 0.13.1 -4        |    193 MB/s |   6640 MB/s |    25000669 |  48.81 | silesia/mozilla |
| zxc 0.13.1 -5        |    117 MB/s |   6445 MB/s |    23728772 |  46.33 | silesia/mozilla |
| zxc 0.13.1 -7        |   12.2 MB/s |   3935 MB/s |    21040060 |  41.08 | silesia/mozilla |
| zstd 1.5.7 -1        |    725 MB/s |   1481 MB/s |    19968503 |  38.99 | silesia/mozilla |
| lzav 5.11 -1         |    784 MB/s |   3747 MB/s |    23715733 |  46.30 | silesia/mozilla |
| lzav 5.11 -2         |    179 MB/s |   3769 MB/s |    21329096 |  41.64 | silesia/mozilla |
| lz4 1.10.0           |    930 MB/s |   5258 MB/s |     5440937 |  54.57 | silesia/mr      |
| misa77 0.4.0 -0      |    112 MB/s |  13614 MB/s |     5301136 |  53.17 | silesia/mr      |
| misa77 0.4.0 -1      |    104 MB/s |   8705 MB/s |     4707646 |  47.22 | silesia/mr      |
