| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| --------------------- | ----------- | ----------- | ----------- | ------ | ------------------- |
| lz4 1.10.0            |    242 MB/s |   2384 MB/s |     6428742 |  63.07 | silesia/dickens     |
| misa77 0.4.0 -0       |   38.3 MB/s |   5481 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.4.0 -1       |   39.3 MB/s |   4504 MB/s |     4680658 |  45.92 | silesia/dickens     |
| misa77 0.4.0 -2       |   1.23 MB/s |   4138 MB/s |     4311172 |  42.30 | silesia/dickens     |
| misa77 0.4.0 safe -0  |   38.3 MB/s |   5320 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.4.0 safe -1  |   39.2 MB/s |   4349 MB/s |     4680658 |  45.92 | silesia/dickens     |
| lz4hc 1.10.0 -9       |   13.9 MB/s |   2189 MB/s |     4432823 |  43.49 | silesia/dickens     |
| lz4hc 1.10.0 -12      |   7.64 MB/s |   2139 MB/s |     4376097 |  42.93 | silesia/dickens     |
| lzsse4fast 2019-04-18 |    130 MB/s |   2570 MB/s |     5161515 |  50.64 | silesia/dickens     |
| lzsse8fast 2019-04-18 |    129 MB/s |   2523 MB/s |     5174322 |  50.77 | silesia/dickens     |
| snappy 1.2.2          |    218 MB/s |    522 MB/s |     6249045 |  61.31 | silesia/dickens     |
| zxc 0.13.1 -3         |   70.3 MB/s |   3042 MB/s |     5813174 |  57.03 | silesia/dickens     |
| zxc 0.13.1 -4         |   48.3 MB/s |   2834 MB/s |     5221630 |  51.23 | silesia/dickens     |
| zxc 0.13.1 -5         |   31.2 MB/s |   2878 MB/s |     4956392 |  48.63 | silesia/dickens     |
| zxc 0.13.1 -7         |   6.05 MB/s |   1905 MB/s |     3739859 |  36.69 | silesia/dickens     |
| zstd 1.5.7 -1         |    201 MB/s |    881 MB/s |     4261734 |  41.81 | silesia/dickens     |
| lzav 5.11 -1          |    166 MB/s |   1179 MB/s |     4628824 |  45.41 | silesia/dickens     |
