c22	3	bell_s10	3108
c22	3	bell_s30	2361
c22	3	bell_s80	2927
c22	3	uniform	4078
c22	3	english	3297
c22	3	zipfian	2646
c22	3	sparse_4	54120
c22	3	sparse_16	53059
c22	3	geometric	5061
c22	3	two_sym_eq	26330
c22	3	two_sym_90/10	26165
c22	3	flat_M3	28084
c22	3	flat_M5	28093
c22	3	flat_M6	23237
c22	3	flat_M7	5100
c22	3	html_wiki	2412
c22	3	prose_pride	2653
c22	3	image_jpeg	2800
c22	3	json_api	2588
c22	3	source_c	2887
c22	3	log_apache	2498
c22	3	dna_fasta	3856
c22	3	csv_numeric	3568
c22	3	gzip_random	4061
c22	3	chinese_text	2610
g15	3	proba80	9398
g15	3	proba50	4855
g15	3	proba14	2703
g15	3	proba02	2321
g15	3	bell_s10	2993
g15	3	bell_s30	2078
g15	3	bell_s80	2830
g15	3	uniform	4095
g15	3	english	3105
g15	3	zipfian	2503
g15	3	sparse_4	49696
g15	3	sparse_16	57221
g15	3	geometric	4845
g15	3	two_sym_eq	28718
g15	3	two_sym_90/10	28689
g15	3	flat_M3	18048
g15	3	flat_M5	13469
g15	3	flat_M6	11073
g15	3	flat_M7	5400
g15	3	html_wiki	2154
g15	3	prose_pride	2459
g15	3	image_jpeg	2707
g15	3	json_api	2413
g15	3	source_c	2555
g15	3	log_apache	2339
g15	3	dna_fasta	3747
g15	3	csv_numeric	3342
g15	3	gzip_random	4053
g15	3	chinese_text	2422
c17	4	proba80	9334
c17	4	proba50	5053
c17	4	proba14	2881
c17	4	proba02	2624
c17	4	bell_s10	3193
c17	4	bell_s30	2411
c17	4	bell_s80	2788
c17	4	uniform	4036
c17	4	english	3321
c17	4	zipfian	2659
c17	4	sparse_4	48321
c17	4	sparse_16	45839
c17	4	geometric	5007
c17	4	two_sym_eq	26214
c17	4	two_sym_90/10	26288
c17	4	flat_M3	23399
c17	4	flat_M5	27777
c17	4	flat_M6	21334
c17	4	flat_M7	5086
c17	4	html_wiki	2442
c17	4	prose_pride	2639
c17	4	image_jpeg	2827
c17	4	json_api	2607
c17	4	source_c	2884
c17	4	log_apache	2564
c17	4	dna_fasta	3833
c17	4	csv_numeric	3567
c17	4	gzip_random	4088
c17	4	chinese_text	2614
c22	4	proba80	9644
c22	4	proba50	5094
c22	4	proba14	2817
c22	4	proba02	2598
c22	4	bell_s10	3106
c22	4	bell_s30	2397
c22	4	bell_s80	2933
c22	4	uniform	4044
c22	4	english	3325
c22	4	zipfian	2655
c22	4	sparse_4	54225
c22	4	sparse_16	53193
c22	4	geometric	5053
c22	4	two_sym_eq	26247
c22	4	two_sym_90/10	26231
c22	4	flat_M3	28206
c22	4	flat_M5	27943
c22	4	flat_M6	23160
c22	4	flat_M7	5065
c22	4	html_wiki	2419
c22	4	prose_pride	2620
c22	4	image_jpeg	2821
c22	4	json_api	2599
c22	4	source_c	2936
c22	4	log_apache	2517
c22	4	dna_fasta	3850
c22	4	csv_numeric	3560
c22	4	gzip_random	4120
c22	4	chinese_text	2597
g15	4	proba80	9251
g15	4	proba50	4869
g15	4	proba14	2660
g15	4	proba02	2380
g15	4	bell_s10	2983
g15	4	bell_s30	2095
g15	4	bell_s80	2821
g15	4	uniform	4132
g15	4	english	3094
g15	4	zipfian	2505
g15	4	sparse_4	50534
g15	4	sparse_16	59536
g15	4	geometric	4811
g15	4	two_sym_eq	28946
g15	4	two_sym_90/10	28708
g15	4	flat_M3	18091
g15	4	flat_M5	13452
g15	4	flat_M6	10907
g15	4	flat_M7	5394
g15	4	html_wiki	2145
g15	4	prose_pride	2427
g15	4	image_jpeg	2696
g15	4	json_api	2408
g15	4	source_c	2679
g15	4	log_apache	2320
g15	4	dna_fasta	3753
g15	4	csv_numeric	3305
g15	4	gzip_random	4103
g15	4	chinese_text	2398
c17	5	proba80	9364
