bench_tree_modes: pure tree-shape ablation (FSE off)
BUF=1048576 bytes, BLK=8192, blocks=128, RUNS=5

dist             mode                 MB/s    ratio  flat_syms      v_opt
----             ----                 ----    -----  ---------      -----
proba80          OPTIMIZED           16886    6.323          0      1.00x
proba80          NAIVE               16997    6.323          0      1.01x
proba80          FUSED               17145    6.323          0      1.02x
proba80          CANONICAL_FLAT      16938    6.323          0      1.00x

english          OPTIMIZED            6632    1.868         20      1.00x
english          NAIVE                4303    1.853          0      0.65x
english          FUSED                4369    1.853          0      0.66x
english          CANONICAL_FLAT       5266    1.863         16      0.79x

html_wiki        OPTIMIZED            4285    1.404        184      1.00x
html_wiki        NAIVE                1427    1.319          0      0.33x
html_wiki        FUSED                1427    1.319          0      0.33x
html_wiki        CANONICAL_FLAT       3724    1.402        180      0.87x

prose_pride      OPTIMIZED            4939    1.717         80      1.00x
prose_pride      NAIVE                2353    1.660          0      0.48x
prose_pride      FUSED                2379    1.660          0      0.48x
prose_pride      CANONICAL_FLAT       4201    1.711         72      0.85x

json_api         OPTIMIZED            4434    1.510         88      1.00x
json_api         NAIVE                2071    1.465          0      0.47x
json_api         FUSED                2078    1.465          0      0.47x
json_api         CANONICAL_FLAT       3675    1.505         84      0.83x

dna_fasta        OPTIMIZED           10187    3.496         24      1.00x
dna_fasta        NAIVE               10104    3.487          0      0.99x
dna_fasta        FUSED               10165    3.487          0      1.00x
dna_fasta        CANONICAL_FLAT      10262    3.492         20      1.01x

chinese_text     OPTIMIZED            4380    1.327        136      1.00x
chinese_text     NAIVE                1789    1.278          0      0.41x
chinese_text     FUSED                1827    1.278          0      0.42x
chinese_text     CANONICAL_FLAT       3570    1.322        132      0.82x

calgary_pic      OPTIMIZED            7675    4.569        148      1.00x
calgary_pic      NAIVE                2649    3.998          0      0.35x
calgary_pic      FUSED                2674    3.998          0      0.35x
calgary_pic      CANONICAL_FLAT       5972    4.520        140      0.78x

