| Compressor name          | Compression | Decompress. | Compr. size |  Ratio | Filename             |
| zxc 0.12.0 -5            |    109 MB/s |   4238 MB/s |     4378198 |  13.05 | silesia/nci          |
| zstd 1.5.7 -1            |    561 MB/s |   1484 MB/s |     2848578 |   8.49 | silesia/nci          |
| zstd 1.5.7 -3            |    487 MB/s |   1458 MB/s |     2833843 |   8.45 | silesia/nci          |
| lizard 2.1 -10           |    571 MB/s |   2805 MB/s |     5545810 |  16.53 | silesia/nci          |
| misa77 0.2.0 -0          |   28.8 MB/s |   3733 MB/s |     4057627 |  65.95 | silesia/ooffice      |
| misa77 0.2.0 -1          |   30.7 MB/s |   3031 MB/s |     3704055 |  60.21 | silesia/ooffice      |
| misa77 0.2.0 adaptive -0 |   3.21 MB/s |   4385 MB/s |     3918646 |  63.70 | silesia/ooffice      |
| misa77 0.2.0 adaptive -1 |   3.29 MB/s |   3823 MB/s |     3794479 |  61.68 | silesia/ooffice      |
| lz4 1.10.0               |    344 MB/s |   2146 MB/s |     4338918 |  70.53 | silesia/ooffice      |
| lz4hc 1.10.0 -12         |   10.2 MB/s |   2222 MB/s |     3535250 |  57.46 | silesia/ooffice      |
| lzsse4fast 2019-04-18    |    106 MB/s |   1890 MB/s |     3972687 |  64.57 | silesia/ooffice      |
| lzsse8fast 2019-04-18    |    100 MB/s |   2158 MB/s |     3922013 |  63.75 | silesia/ooffice      |
| snappy 1.2.2             |    280 MB/s |    695 MB/s |     4290349 |  69.74 | silesia/ooffice      |
| zxc 0.12.0 -3            |    101 MB/s |   3293 MB/s |     4871085 |  79.18 | silesia/ooffice      |
| zxc 0.12.0 -4            |   48.3 MB/s |   2252 MB/s |     3984641 |  64.77 | silesia/ooffice      |
| zxc 0.12.0 -5            |   37.8 MB/s |   2208 MB/s |     3862608 |  62.78 | silesia/ooffice      |
| zstd 1.5.7 -1            |    255 MB/s |    618 MB/s |     3593224 |  58.41 | silesia/ooffice      |
| zstd 1.5.7 -3            |    143 MB/s |    575 MB/s |     3126146 |  50.81 | silesia/ooffice      |
| lizard 2.1 -10           |    273 MB/s |   2189 MB/s |     4370070 |  71.03 | silesia/ooffice      |
| misa77 0.2.0 -0          |   50.3 MB/s |   5430 MB/s |     4105485 |  40.71 | silesia/osdb         |
| misa77 0.2.0 -1          |   51.7 MB/s |   5705 MB/s |     4065267 |  40.31 | silesia/osdb         |
| misa77 0.2.0 adaptive -0 |   7.23 MB/s |   5702 MB/s |     4065267 |  40.31 | silesia/osdb         |
| misa77 0.2.0 adaptive -1 |   7.35 MB/s |   5704 MB/s |     4065267 |  40.31 | silesia/osdb         |
| lz4 1.10.0               |    365 MB/s |   2294 MB/s |     5256666 |  52.12 | silesia/osdb         |
| lz4hc 1.10.0 -12         |   17.2 MB/s |   2841 MB/s |     3946233 |  39.13 | silesia/osdb         |
| lzsse4fast 2019-04-18    |    187 MB/s |   3414 MB/s |     4262592 |  42.26 | silesia/osdb         |
| lzsse8fast 2019-04-18    |    180 MB/s |   3821 MB/s |     4175474 |  41.40 | silesia/osdb         |
| snappy 1.2.2             |    461 MB/s |   1122 MB/s |     5324851 |  52.80 | silesia/osdb         |
| zxc 0.12.0 -3            |    162 MB/s |   4398 MB/s |     6598704 |  65.43 | silesia/osdb         |
| zxc 0.12.0 -4            |   90.4 MB/s |   3221 MB/s |     4567995 |  45.29 | silesia/osdb         |
| zxc 0.12.0 -5            |   60.5 MB/s |   2942 MB/s |     4207554 |  41.72 | silesia/osdb         |
| zstd 1.5.7 -1            |    296 MB/s |    923 MB/s |     3729819 |  36.98 | silesia/osdb         |
| zstd 1.5.7 -3            |    199 MB/s |    992 MB/s |     3501457 |  34.72 | silesia/osdb         |
| lizard 2.1 -10           |    289 MB/s |   1913 MB/s |     5286739 |  52.42 | silesia/osdb         |
| misa77 0.2.0 -0          |   58.5 MB/s |   5858 MB/s |     2514389 |  37.94 | silesia/reymont      |
| misa77 0.2.0 -1          |   57.5 MB/s |   5377 MB/s |     2368486 |  35.74 | silesia/reymont      |
| misa77 0.2.0 adaptive -0 |   3.06 MB/s |   7014 MB/s |     2600719 |  39.24 | silesia/reymont      |
| misa77 0.2.0 adaptive -1 |   3.11 MB/s |   6735 MB/s |     2476568 |  37.37 | silesia/reymont      |
| lz4 1.10.0               |    227 MB/s |   2117 MB/s |     3181387 |  48.00 | silesia/reymont      |
| lz4hc 1.10.0 -12         |   5.70 MB/s |   2546 MB/s |     2063052 |  31.13 | silesia/reymont      |
| lzsse4fast 2019-04-18    |    157 MB/s |   2466 MB/s |     2925190 |  44.14 | silesia/reymont      |
| lzsse8fast 2019-04-18    |    155 MB/s |   2466 MB/s |     2952727 |  44.55 | silesia/reymont      |
| snappy 1.2.2             |    276 MB/s |    642 MB/s |     3204491 |  48.35 | silesia/reymont      |
| zxc 0.12.0 -3            |   84.8 MB/s |   2698 MB/s |     2703538 |  40.79 | silesia/reymont      |
| zxc 0.12.0 -4            |   62.5 MB/s |   2752 MB/s |     2596022 |  39.17 | silesia/reymont      |
| zxc 0.12.0 -5            |   30.3 MB/s |   2732 MB/s |     2380537 |  35.92 | silesia/reymont      |
| zstd 1.5.7 -1            |    197 MB/s |    937 MB/s |     2149170 |  32.43 | silesia/reymont      |
| zstd 1.5.7 -3            |    155 MB/s |    877 MB/s |     1937973 |  29.24 | silesia/reymont      |
| lizard 2.1 -10           |    217 MB/s |   2371 MB/s |     3184901 |  48.06 | silesia/reymont      |
| misa77 0.2.0 -0          |   73.0 MB/s |   6645 MB/s |     7128490 |  32.99 | silesia/samba        |
| misa77 0.2.0 -1          |   75.0 MB/s |   6169 MB/s |     6726112 |  31.13 | silesia/samba        |
| misa77 0.2.0 adaptive -0 |   5.07 MB/s |   7373 MB/s |     7203418 |  33.34 | silesia/samba        |
| misa77 0.2.0 adaptive -1 |   5.12 MB/s |   7303 MB/s |     7116902 |  32.94 | silesia/samba        |
| lz4 1.10.0               |    397 MB/s |   2681 MB/s |     7716839 |  35.72 | silesia/samba        |
| lz4hc 1.10.0 -12         |   7.65 MB/s |   2777 MB/s |     6095902 |  28.21 | silesia/samba        |
| lzsse4fast 2019-04-18    |    202 MB/s |   3295 MB/s |     7601765 |  35.18 | silesia/samba        |
| lzsse8fast 2019-04-18    |    196 MB/s |   3472 MB/s |     7582300 |  35.09 | silesia/samba        |
| snappy 1.2.2             |    441 MB/s |   1009 MB/s |     8014394 |  37.09 | silesia/samba        |
| zxc 0.12.0 -3            |    142 MB/s |   2896 MB/s |     7476205 |  34.60 | silesia/samba        |
| zxc 0.12.0 -4            |    108 MB/s |   2899 MB/s |     7037705 |  32.57 | silesia/samba        |
| zxc 0.12.0 -5            |   69.4 MB/s |   2927 MB/s |     6733675 |  31.17 | silesia/samba        |
| zstd 1.5.7 -1            |    338 MB/s |   1168 MB/s |     5487600 |  25.40 | silesia/samba        |
| zstd 1.5.7 -3            |    240 MB/s |   1169 MB/s |     4955117 |  22.93 | silesia/samba        |
| lizard 2.1 -10           |    355 MB/s |   2631 MB/s |     7927178 |  36.69 | silesia/samba        |
| misa77 0.2.0 -0          |   24.6 MB/s |   5396 MB/s |     6179952 |  85.22 | silesia/sao          |
| misa77 0.2.0 -1          |   24.1 MB/s |   2951 MB/s |     5965605 |  82.26 | silesia/sao          |
| misa77 0.2.0 adaptive -0 |   3.94 MB/s |   7701 MB/s |     6442758 |  88.84 | silesia/sao          |
| misa77 0.2.0 adaptive -1 |   3.95 MB/s |   5548 MB/s |     6004014 |  82.79 | silesia/sao          |
| lz4 1.10.0               |    376 MB/s |   2932 MB/s |     6790273 |  93.63 | silesia/sao          |
| lz4hc 1.10.0 -12         |   11.7 MB/s |   2267 MB/s |     5668734 |  78.17 | silesia/sao          |
| lzsse4fast 2019-04-18    |    113 MB/s |   2028 MB/s |     6305407 |  86.95 | silesia/sao          |
| lzsse8fast 2019-04-18    |    109 MB/s |   2771 MB/s |     6045723 |  83.37 | silesia/sao          |
| snappy 1.2.2             |    311 MB/s |    798 MB/s |     6437634 |  88.77 | silesia/sao          |
| zxc 0.12.0 -3            |   3149 MB/s |  13185 MB/s |     7249515 |  99.97 | silesia/sao          |
| zxc 0.12.0 -4            |   86.3 MB/s |   4409 MB/s |     6788513 |  93.61 | silesia/sao          |
| zxc 0.12.0 -5            |   30.0 MB/s |   2198 MB/s |     6036177 |  83.24 | silesia/sao          |
| zstd 1.5.7 -1            |    248 MB/s |    591 MB/s |     6250010 |  86.18 | silesia/sao          |
| zstd 1.5.7 -3            |    119 MB/s |    508 MB/s |     5527504 |  76.22 | silesia/sao          |
| lizard 2.1 -10           |    282 MB/s |   2616 MB/s |     6792720 |  93.67 | silesia/sao          |
