primitive,m4_proba80,c8i_proba80,c8i_over_m4_proba80,m4_prose,c8i_prose,c8i_over_m4_prose
p_partition,0.40,2.08,5.2x,0.40,4.23,10.5x
p_half_right,0.37,0.65,1.8x,0.41,0.66,1.6x
s1_scatter,0.26,0.21,0.8x,0.28,0.30,1.0x
s2_scatter_both,0.51,3.47,6.8x,0.32,4.22,13.1x
sfx_scatter_flat,—,—,—,0.39,0.93,2.4x
