| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| misa77 0.3.0 -0       |   28.6 MB/s |   3837 MB/s |     4057627 |  65.95 | silesia/ooffice     |
| misa77 0.3.0 -1       |   30.7 MB/s |   3046 MB/s |     3704055 |  60.21 | silesia/ooffice     |
| misa77 0.3.0 safe -0  |   28.6 MB/s |   3712 MB/s |     4057627 |  65.95 | silesia/ooffice     |
| misa77 0.3.0 safe -1  |   30.7 MB/s |   2948 MB/s |     3704055 |  60.21 | silesia/ooffice     |
| lz4hc 1.10.0 -12      |   10.2 MB/s |   2226 MB/s |     3535250 |  57.46 | silesia/ooffice     |
| lzsse4fast 2019-04-18 |    106 MB/s |   1897 MB/s |     3972687 |  64.57 | silesia/ooffice     |
| lzsse8fast 2019-04-18 |    100 MB/s |   2166 MB/s |     3922013 |  63.75 | silesia/ooffice     |
| snappy 1.2.2          |    280 MB/s |    694 MB/s |     4290349 |  69.74 | silesia/ooffice     |
| zxc 0.13.1 -3         |    102 MB/s |   3271 MB/s |     4871085 |  79.18 | silesia/ooffice     |
| zxc 0.13.1 -4         |   48.5 MB/s |   2276 MB/s |     3984641 |  64.77 | silesia/ooffice     |
| zxc 0.13.1 -5         |   37.8 MB/s |   2235 MB/s |     3862608 |  62.78 | silesia/ooffice     |
| zstd 1.5.7 -1         |    254 MB/s |    618 MB/s |     3593224 |  58.41 | silesia/ooffice     |
| lzav 5.11 -1          |    272 MB/s |   1659 MB/s |     4017547 |  65.30 | silesia/ooffice     |
| lz4 1.10.0            |    365 MB/s |   2291 MB/s |     5256666 |  52.12 | silesia/osdb        |
| misa77 0.3.0 -0       |   51.2 MB/s |   5446 MB/s |     4105485 |  40.71 | silesia/osdb        |
| misa77 0.3.0 -1       |   52.6 MB/s |   5771 MB/s |     4065267 |  40.31 | silesia/osdb        |
| misa77 0.3.0 safe -0  |   51.2 MB/s |   5191 MB/s |     4105485 |  40.71 | silesia/osdb        |
| misa77 0.3.0 safe -1  |   52.6 MB/s |   5455 MB/s |     4065267 |  40.31 | silesia/osdb        |
| lz4hc 1.10.0 -12      |   17.1 MB/s |   2850 MB/s |     3946233 |  39.13 | silesia/osdb        |
| lzsse4fast 2019-04-18 |    187 MB/s |   3439 MB/s |     4262592 |  42.26 | silesia/osdb        |
| lzsse8fast 2019-04-18 |    180 MB/s |   3849 MB/s |     4175474 |  41.40 | silesia/osdb        |
| snappy 1.2.2          |    461 MB/s |   1127 MB/s |     5324851 |  52.80 | silesia/osdb        |
| zxc 0.13.1 -3         |    166 MB/s |   4419 MB/s |     6598704 |  65.43 | silesia/osdb        |
| zxc 0.13.1 -4         |   91.2 MB/s |   3232 MB/s |     4567995 |  45.29 | silesia/osdb        |
| zxc 0.13.1 -5         |   60.8 MB/s |   2959 MB/s |     4207554 |  41.72 | silesia/osdb        |
| zstd 1.5.7 -1         |    295 MB/s |    925 MB/s |     3729819 |  36.98 | silesia/osdb        |
| lzav 5.11 -1          |    369 MB/s |   2361 MB/s |     4023475 |  39.89 | silesia/osdb        |
| lz4 1.10.0            |    227 MB/s |   2121 MB/s |     3181387 |  48.00 | silesia/reymont     |
| misa77 0.3.0 -0       |   58.2 MB/s |   6171 MB/s |     2514389 |  37.94 | silesia/reymont     |
| misa77 0.3.0 -1       |   57.7 MB/s |   5679 MB/s |     2368486 |  35.74 | silesia/reymont     |
| misa77 0.3.0 safe -0  |   58.1 MB/s |   5943 MB/s |     2514389 |  37.94 | silesia/reymont     |
| misa77 0.3.0 safe -1  |   57.7 MB/s |   5461 MB/s |     2368486 |  35.74 | silesia/reymont     |
| lz4hc 1.10.0 -12      |   5.70 MB/s |   2563 MB/s |     2063052 |  31.13 | silesia/reymont     |
| lzsse4fast 2019-04-18 |    157 MB/s |   2482 MB/s |     2925190 |  44.14 | silesia/reymont     |
| lzsse8fast 2019-04-18 |    154 MB/s |   2472 MB/s |     2952727 |  44.55 | silesia/reymont     |
| snappy 1.2.2          |    277 MB/s |    642 MB/s |     3204491 |  48.35 | silesia/reymont     |
| zxc 0.13.1 -3         |   84.3 MB/s |   2695 MB/s |     2703538 |  40.79 | silesia/reymont     |
| zxc 0.13.1 -4         |   62.0 MB/s |   2751 MB/s |     2596022 |  39.17 | silesia/reymont     |
| zxc 0.13.1 -5         |   29.9 MB/s |   2728 MB/s |     2380537 |  35.92 | silesia/reymont     |
| zstd 1.5.7 -1         |    196 MB/s |    929 MB/s |     2149170 |  32.43 | silesia/reymont     |
| lzav 5.11 -1          |    211 MB/s |   1425 MB/s |     2457445 |  37.08 | silesia/reymont     |
| lz4 1.10.0            |    397 MB/s |   2685 MB/s |     7716839 |  35.72 | silesia/samba       |
| misa77 0.3.0 -0       |   72.6 MB/s |   6828 MB/s |     7128490 |  32.99 | silesia/samba       |
| misa77 0.3.0 -1       |   75.2 MB/s |   6346 MB/s |     6726112 |  31.13 | silesia/samba       |
| misa77 0.3.0 safe -0  |   72.7 MB/s |   6641 MB/s |     7128490 |  32.99 | silesia/samba       |
| misa77 0.3.0 safe -1  |   75.3 MB/s |   6168 MB/s |     6726112 |  31.13 | silesia/samba       |
| lz4hc 1.10.0 -12      |   7.67 MB/s |   2783 MB/s |     6095902 |  28.21 | silesia/samba       |
| lzsse4fast 2019-04-18 |    202 MB/s |   3314 MB/s |     7601765 |  35.18 | silesia/samba       |
| lzsse8fast 2019-04-18 |    196 MB/s |   3488 MB/s |     7582300 |  35.09 | silesia/samba       |
| snappy 1.2.2          |    440 MB/s |   1012 MB/s |     8014394 |  37.09 | silesia/samba       |
| zxc 0.13.1 -3         |    143 MB/s |   2897 MB/s |     7476205 |  34.60 | silesia/samba       |
| zxc 0.13.1 -4         |    108 MB/s |   2894 MB/s |     7037705 |  32.57 | silesia/samba       |
| zxc 0.13.1 -5         |   69.1 MB/s |   2902 MB/s |     6733675 |  31.17 | silesia/samba       |
| zstd 1.5.7 -1         |    337 MB/s |   1166 MB/s |     5487600 |  25.40 | silesia/samba       |
| lzav 5.11 -1          |    358 MB/s |   1964 MB/s |     6248538 |  28.92 | silesia/samba       |
| lz4 1.10.0            |    370 MB/s |   2904 MB/s |     6790273 |  93.63 | silesia/sao         |
| misa77 0.3.0 -0       |   24.6 MB/s |   5517 MB/s |     6179952 |  85.22 | silesia/sao         |
| misa77 0.3.0 -1       |   24.1 MB/s |   2975 MB/s |     5965605 |  82.26 | silesia/sao         |
| misa77 0.3.0 safe -0  |   24.6 MB/s |   5066 MB/s |     6179952 |  85.22 | silesia/sao         |
