| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| -------------------- | ----------- | ----------- | ----------- | ------ | --------------- |
| lz4 1.10.0           |    919 MB/s |   5311 MB/s |   100885867 |  47.59 | silesia.tar     |
| misa77 0.3.0 -0      |    134 MB/s |  12537 MB/s |    90391853 |  42.64 | silesia.tar     |
| misa77 0.3.0 -1      |    122 MB/s |  10225 MB/s |    84046596 |  39.65 | silesia.tar     |
| misa77 0.3.0 safe -0 |    133 MB/s |  12561 MB/s |    90391853 |  42.64 | silesia.tar     |
| misa77 0.3.0 safe -1 |    125 MB/s |  10057 MB/s |    84046596 |  39.65 | silesia.tar     |
| lz4hc 1.10.0 -12     |   16.7 MB/s |   4892 MB/s |    77266284 |  36.45 | silesia.tar     |
| snappy 1.2.2         |    969 MB/s |   3445 MB/s |   101554606 |  47.91 | silesia.tar     |
| zxc 0.13.1 -3        |    271 MB/s |   8011 MB/s |    97023091 |  45.77 | silesia.tar     |
| zxc 0.13.1 -4        |    182 MB/s |   7640 MB/s |    91571977 |  43.20 | silesia.tar     |
| zxc 0.13.1 -5        |    111 MB/s |   7137 MB/s |    85426576 |  40.30 | silesia.tar     |
| zstd 1.5.7 -1        |    717 MB/s |   1619 MB/s |    73220859 |  34.54 | silesia.tar     |
| lzav 5.11 -1         |    740 MB/s |   4358 MB/s |    84647186 |  39.93 | silesia.tar     |
| lz4 1.10.0           |    640 MB/s |   4314 MB/s |    20139988 |  48.58 | silesia/webster |
| misa77 0.3.0 -0      |    125 MB/s |  13069 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.3.0 -1      |    127 MB/s |  11427 MB/s |    14653209 |  35.34 | silesia/webster |
| misa77 0.3.0 safe -0 |    121 MB/s |  12954 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.3.0 safe -1 |    131 MB/s |  11245 MB/s |    14653209 |  35.34 | silesia/webster |
| lz4hc 1.10.0 -12     |   22.3 MB/s |   3943 MB/s |    13823143 |  33.34 | silesia/webster |
| snappy 1.2.2         |    691 MB/s |   2776 MB/s |    19984210 |  48.20 | silesia/webster |
| zxc 0.13.1 -3        |    177 MB/s |   6601 MB/s |    17050225 |  41.13 | silesia/webster |
| zxc 0.13.1 -4        |    132 MB/s |   6508 MB/s |    16781584 |  40.48 | silesia/webster |
| zxc 0.13.1 -5        |   87.2 MB/s |   6386 MB/s |    15942227 |  38.45 | silesia/webster |
| zstd 1.5.7 -1        |    565 MB/s |   1682 MB/s |    13661986 |  32.95 | silesia/webster |
| lzav 5.11 -1         |    482 MB/s |   3514 MB/s |    15120347 |  36.47 | silesia/webster |
| lz4 1.10.0           |    938 MB/s |   5184 MB/s |    26435667 |  51.61 | silesia/mozilla |
| misa77 0.3.0 -0      |    120 MB/s |  11108 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.3.0 -1      |    118 MB/s |  10364 MB/s |    23410515 |  45.71 | silesia/mozilla |
| misa77 0.3.0 safe -0 |    120 MB/s |  11019 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.3.0 safe -1 |    120 MB/s |  10090 MB/s |    23410515 |  45.71 | silesia/mozilla |
| lz4hc 1.10.0 -12     |   9.99 MB/s |   5201 MB/s |    22014250 |  42.98 | silesia/mozilla |
| snappy 1.2.2         |    956 MB/s |   3115 MB/s |    26568762 |  51.87 | silesia/mozilla |
| zxc 0.13.1 -3        |    255 MB/s |   6863 MB/s |    26803592 |  52.33 | silesia/mozilla |
| zxc 0.13.1 -4        |    194 MB/s |   6636 MB/s |    25000669 |  48.81 | silesia/mozilla |
| zxc 0.13.1 -5        |    114 MB/s |   6458 MB/s |    23728772 |  46.33 | silesia/mozilla |
