distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,524098038,0.399635,818.911545
proba80,naive,s1_scatter,765500,1048576000,264872163,0.252604,346.015503
proba80,scalar_opt,p_partition,384000,260847000,104110789,0.399130,271.124615
proba80,scalar_opt,p_half_right,128000,1048576000,402951475,0.384288,3148.090540
proba80,scalar_opt,s1_scatter,384000,207986000,53000879,0.254832,138.024532
proba80,scalar_opt,s2_scatter_both,128000,2033000,1079506,0.530997,8.433727
prose_pride,naive,p_partition,10150500,4825964000,1974059582,0.409054,194.481034
prose_pride,naive,s1_scatter,8893500,1048576000,317990358,0.303262,35.755732
prose_pride,scalar_opt,p_partition,1792000,3125605500,1271532904,0.406816,709.568017
prose_pride,scalar_opt,p_half_right,128000,277315000,113329319,0.408671,885.394345
prose_pride,scalar_opt,s1_scatter,896000,208865000,61526983,0.294581,68.669209
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62773089,0.323754,162.415860
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,185685309,0.394391,362.670322
