distribution,decoder,throughput_gbs,bpc
proba80,naive,1.2107,1.2524
proba80,scalar_opt,1.6086,1.2651
proba80,huf0_x2,2.8558,1.2514
prose_pride,naive,0.4326,4.6397
prose_pride,scalar_opt,0.5787,4.6562
prose_pride,huf0_x2,2.5558,4.5831
