distribution,decoder,throughput_gbs,bpc
proba80,naive_simd,3.6104,1.2524
proba80,simd_opt,6.2704,1.2651
proba80,naive,1.2015,1.2524
proba80,scalar_opt,1.6049,1.2651
proba80,huf0_x2,2.8165,1.2514
prose_pride,naive_simd,1.7162,4.6397
prose_pride,simd_opt,2.3556,4.6562
prose_pride,naive,0.4349,4.6397
prose_pride,scalar_opt,0.5808,4.6562
prose_pride,huf0_x2,2.5187,4.5831
