distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,513707020,0.391710,802.672083
proba80,naive,s1_scatter,765500,1048576000,255835598,0.243985,334.209208
proba80,scalar_opt,p_partition,384000,260847000,103126766,0.395356,268.560914
proba80,scalar_opt,p_half_right,128000,1048576000,398438256,0.379983,3112.817739
proba80,scalar_opt,s1_scatter,384000,207986000,52787433,0.253804,137.468106
proba80,scalar_opt,s2_scatter_both,128000,2033000,1015877,0.499697,7.936587
proba80,simd_opt,simd_partition,384000,260847000,16839551,0.064558,43.853263
proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,52625883,0.050188,411.142202
proba80,simd_opt,simd_s1_scatter,384000,207986000,26441100,0.127130,68.857449
proba80,simd_opt,simd_s2_scatter_both,128000,2033000,435622,0.214277,3.403317
prose_pride,naive,p_partition,10150500,4825964000,1978180770,0.409906,194.886238
prose_pride,naive,s1_scatter,8893500,1048576000,294071102,0.280450,33.066046
prose_pride,scalar_opt,p_partition,1792000,3125605500,1272691505,0.407185,710.211617
prose_pride,scalar_opt,p_half_right,128000,277315000,113458006,0.409133,886.396043
prose_pride,scalar_opt,s1_scatter,896000,208865000,58757360,0.281319,65.577808
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62705643,0.323405,162.240680
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,186268108,0.395628,363.807103
prose_pride,simd_opt,simd_partition,1664000,2077029500,135784678,0.065375,81.601863
prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13729097,0.049508,107.259220
prose_pride,simd_opt,simd_partition_root,128000,1048576000,67966587,0.064818,530.992179
prose_pride,simd_opt,simd_s1_scatter,896000,208865000,29272921,0.140153,32.670869
prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,32103356,0.165574,83.062227
prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,76909715,0.163354,150.215197
