distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,523006609,0.398803,817.206849
proba80,naive,s1_scatter,765500,1048576000,260505550,0.248440,340.311464
proba80,naive_simd,simd_partition,640000,1311456000,79221823,0.060408,123.785465
proba80,naive_simd,simd_s1_scatter,765500,1048576000,128960350,0.122988,168.467373
proba80,scalar_opt,p_partition,384000,260847000,105815093,0.405664,275.563180
proba80,scalar_opt,p_half_right,128000,1048576000,412341951,0.393244,3221.457057
proba80,scalar_opt,s1_scatter,384000,207986000,53962993,0.259458,140.530179
proba80,scalar_opt,s2_scatter_both,128000,2033000,1052122,0.517528,8.219794
proba80,simd_opt,simd_partition,384000,260847000,16530150,0.063372,43.047741
proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,51862548,0.049461,405.180629
proba80,simd_opt,simd_s1_scatter,384000,207986000,26493197,0.127381,68.993462
proba80,simd_opt,simd_s2_scatter_both,128000,2033000,429417,0.211226,3.354857
prose_pride,naive,p_partition,10150500,4825964000,1969103476,0.408027,193.992928
prose_pride,naive,s1_scatter,8893500,1048576000,293110933,0.279535,32.958247
prose_pride,naive_simd,simd_partition,10150500,4825964000,324448896,0.067231,31.964187
prose_pride,naive_simd,simd_s1_scatter,8893500,1048576000,154931878,0.147756,17.420992
prose_pride,scalar_opt,p_partition,1792000,3125605500,1274034797,0.407617,710.964767
prose_pride,scalar_opt,p_half_right,128000,277315000,113405543,0.408946,885.990586
prose_pride,scalar_opt,s1_scatter,896000,208865000,58629097,0.280706,65.434982
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62907330,0.324447,162.763323
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,186725442,0.396601,364.702155
prose_pride,simd_opt,simd_partition,1664000,2077029500,134746308,0.064875,80.978243
prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13481303,0.048614,105.323842
prose_pride,simd_opt,simd_partition_root,128000,1048576000,67469966,0.064345,527.114929
prose_pride,simd_opt,simd_s1_scatter,896000,208865000,29140405,0.139519,32.523132
prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,32006801,0.165076,82.812819
prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,76083931,0.161601,148.603068
