distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,530153121,0.404249,828.367192
proba80,naive,s1_scatter,765500,1048576000,264029105,0.251799,344.911878
proba80,naive_simd,simd_partition,640000,1311456000,79912475,0.060934,124.863685
proba80,naive_simd,simd_s1_scatter,765500,1048576000,129892741,0.123876,169.684131
proba80,scalar_opt,p_partition,384000,260847000,104098367,0.399080,271.090460
proba80,scalar_opt,p_half_right,128000,1048576000,405126977,0.386361,3165.065744
proba80,scalar_opt,s1_scatter,384000,207986000,53236844,0.255965,138.638107
proba80,scalar_opt,s2_scatter_both,128000,2033000,1021171,0.502299,7.977927
proba80,simd_opt,simd_partition,384000,260847000,16770652,0.064293,43.673728
proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,52349158,0.049924,408.979249
proba80,simd_opt,simd_s1_scatter,384000,207986000,26573093,0.127764,69.201009
proba80,simd_opt,simd_s2_scatter_both,128000,2033000,442535,0.217677,3.457317
prose_pride,naive,p_partition,10150500,4825964000,1982039613,0.410705,195.265913
prose_pride,naive,s1_scatter,8893500,1048576000,295848813,0.282144,33.265853
prose_pride,naive_simd,simd_partition,10150500,4825964000,330732854,0.068532,32.583028
prose_pride,naive_simd,simd_s1_scatter,8893500,1048576000,160250441,0.152827,18.018891
prose_pride,scalar_opt,p_partition,1792000,3125605500,1268941295,0.405984,708.117076
prose_pride,scalar_opt,p_half_right,128000,277315000,113066631,0.407721,883.336191
prose_pride,scalar_opt,s1_scatter,896000,208865000,58352815,0.279382,65.126141
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62487580,0.322280,161.676072
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,186383755,0.395872,364.032064
prose_pride,simd_opt,simd_partition,1664000,2077029500,135844392,0.065403,81.637545
prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13730657,0.049513,107.271139
prose_pride,simd_opt,simd_partition_root,128000,1048576000,67835632,0.064693,529.967756
prose_pride,simd_opt,simd_s1_scatter,896000,208865000,29462323,0.141060,32.882174
prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,31920657,0.164631,82.589315
prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,79118488,0.168045,154.528845
