distribution,decoder,throughput_gbs,bpc
proba80,simd_opt,6.2272,1.2651
proba80,naive,1.2359,1.2524
proba80,scalar_opt,1.6233,1.2651
proba80,huf0_x2,2.8500,1.2514
prose_pride,simd_opt,2.3758,4.6562
prose_pride,naive,0.4364,4.6397
prose_pride,scalar_opt,0.5793,4.6562
prose_pride,huf0_x2,2.5330,4.5831
