distribution,decoder,throughput_gbs,bpc
proba80,naive,1.2010,1.2524
proba80,scalar-opt,1.6056,1.2651
proba80,huf0_x2,2.8128,1.2514
prose_pride,naive,0.4308,4.6397
prose_pride,scalar-opt,0.5800,4.6562
prose_pride,huf0_x2,2.5335,4.5831
