distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,530240308,0.404317,828.506869
proba80,naive,s1_scatter,765500,1048576000,263741142,0.251525,344.537133
proba80,scalar_opt,p_partition,384000,260847000,105166258,0.403175,273.872575
proba80,scalar_opt,p_half_right,128000,1048576000,413868511,0.394699,3233.372671
proba80,scalar_opt,s1_scatter,384000,207986000,53692042,0.258154,139.824104
proba80,scalar_opt,s2_scatter_both,128000,2033000,1045910,0.514470,8.171235
proba80,simd_opt,simd_partition,384000,260847000,16984925,0.065115,44.231917
proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,52850508,0.050403,412.897777
proba80,simd_opt,simd_s1_scatter,384000,207986000,26776553,0.128743,69.731144
proba80,simd_opt,simd_s2_scatter_both,128000,2033000,438069,0.215481,3.422440
prose_pride,naive,p_partition,10150500,4825964000,1977966737,0.409863,194.865473
prose_pride,naive,s1_scatter,8893500,1048576000,293911161,0.280298,33.048117
prose_pride,scalar_opt,p_partition,1792000,3125605500,1270937339,0.406624,709.233894
prose_pride,scalar_opt,p_half_right,128000,277315000,113276106,0.408478,884.976401
prose_pride,scalar_opt,s1_scatter,896000,208865000,58427934,0.279742,65.210251
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62540475,0.322554,161.813602
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,186041090,0.395146,363.364305
prose_pride,simd_opt,simd_partition,1664000,2077029500,136785815,0.065857,82.203648
prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13758336,0.049613,107.487829
prose_pride,simd_opt,simd_partition_root,128000,1048576000,68430354,0.065261,534.616263
prose_pride,simd_opt,simd_s1_scatter,896000,208865000,29573107,0.141591,33.005954
prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,33497331,0.172763,86.669054
prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,77332233,0.164252,151.040682
