distribution,decoder,throughput_gbs,bpc
proba80,naive,1.2113,1.2524
proba80,scalar_opt,1.6306,1.2651
proba80,huf0_x2,2.8624,1.2514
prose_pride,naive,0.4324,4.6397
prose_pride,scalar_opt,0.5789,4.6562
prose_pride,huf0_x2,2.5395,4.5831
