| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| zxc 0.13.1 -4         |    194 MB/s |   6622 MB/s |    25000669 |  48.81 | silesia/mozilla |
| zxc 0.13.1 -5         |    118 MB/s |   6466 MB/s |    23728772 |  46.33 | silesia/mozilla |
| zstd 1.5.7 -1         |    725 MB/s |   1442 MB/s |    19968503 |  38.99 | silesia/mozilla |
| lzav 5.16 -1          |    814 MB/s |   3723 MB/s |    23791255 |  46.45 | silesia/mozilla |
| lzav 5.16 -2          |    193 MB/s |   3714 MB/s |    21291648 |  41.57 | silesia/mozilla |
| lz4 1.10.0            |    932 MB/s |   5270 MB/s |     5440937 |  54.57 | silesia/mr      |
| misa77 0.6.0 --1      |    624 MB/s |   9045 MB/s |     5816870 |  58.34 | silesia/mr      |
| misa77 0.6.0 -0       |    449 MB/s |  13071 MB/s |     5312835 |  53.29 | silesia/mr      |
| misa77 0.6.0 -1       |    113 MB/s |  13624 MB/s |     5301136 |  53.17 | silesia/mr      |
| misa77 0.6.0 -2       |   84.7 MB/s |   9419 MB/s |     4830830 |  48.45 | silesia/mr      |
| misa77 0.6.0 -3       |   18.9 MB/s |   8630 MB/s |     4435859 |  44.49 | silesia/mr      |
| misa77 0.6.0 -4       |   12.9 MB/s |   9066 MB/s |     4204420 |  42.17 | silesia/mr      |
| misa77 0.6.0 safe --1 |    624 MB/s |   8865 MB/s |     5816870 |  58.34 | silesia/mr      |
| misa77 0.6.0 safe -0  |    450 MB/s |  12763 MB/s |     5312835 |  53.29 | silesia/mr      |
| misa77 0.6.0 safe -1  |    113 MB/s |  13306 MB/s |     5301136 |  53.17 | silesia/mr      |
| misa77 0.6.0 safe -2  |   84.7 MB/s |   9287 MB/s |     4830830 |  48.45 | silesia/mr      |
| misa77 0.6.0 safe -3  |   18.8 MB/s |   8596 MB/s |     4435859 |  44.49 | silesia/mr      |
| lz4hc 1.10.0 -9       |   31.1 MB/s |   4613 MB/s |     4245211 |  42.58 | silesia/mr      |
| lz4hc 1.10.0 -12      |   12.8 MB/s |   4603 MB/s |     4189363 |  42.02 | silesia/mr      |
| snappy 1.2.2          |    943 MB/s |   2546 MB/s |     5399507 |  54.15 | silesia/mr      |
| zxc 0.13.1 -3         |    222 MB/s |   9566 MB/s |     4908330 |  49.23 | silesia/mr      |
| zxc 0.13.1 -4         |    153 MB/s |   9522 MB/s |     4786383 |  48.01 | silesia/mr      |
| zxc 0.13.1 -5         |    105 MB/s |   9218 MB/s |     4577653 |  45.91 | silesia/mr      |
| zstd 1.5.7 -1         |    664 MB/s |   1575 MB/s |     3813409 |  38.25 | silesia/mr      |
| lzav 5.16 -1          |    702 MB/s |   4180 MB/s |     4650604 |  46.64 | silesia/mr      |
| lzav 5.16 -2          |    152 MB/s |   3770 MB/s |     4186314 |  41.99 | silesia/mr      |
| lz4 1.10.0            |    582 MB/s |   4120 MB/s |     6428742 |  63.07 | silesia/dickens |
| misa77 0.6.0 --1      |    313 MB/s |   9272 MB/s |     5937040 |  58.25 | silesia/dickens |
| misa77 0.6.0 -0       |    216 MB/s |  11290 MB/s |     5207389 |  51.09 | silesia/dickens |
