| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| --------------------- | ----------- | ----------- | ----------- | ------ | ------------------- |
| lz4 1.10.0            |    242 MB/s |   2383 MB/s |     6428742 |  63.07 | silesia/dickens     |
| misa77 0.6.0 --1      |    131 MB/s |   3673 MB/s |     5937040 |  58.25 | silesia/dickens     |
| misa77 0.6.0 -0       |   95.7 MB/s |   5237 MB/s |     5207389 |  51.09 | silesia/dickens     |
| misa77 0.6.0 -1       |   38.4 MB/s |   5491 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.6.0 -2       |   30.8 MB/s |   5079 MB/s |     4836078 |  47.45 | silesia/dickens     |
| misa77 0.6.0 -3       |   9.13 MB/s |   4403 MB/s |     4378961 |  42.96 | silesia/dickens     |
| misa77 0.6.0 -4       |   6.08 MB/s |   4256 MB/s |     4138278 |  40.60 | silesia/dickens     |
| misa77 0.6.0 safe --1 |    131 MB/s |   3522 MB/s |     5937040 |  58.25 | silesia/dickens     |
| misa77 0.6.0 safe -0  |   95.8 MB/s |   5060 MB/s |     5207389 |  51.09 | silesia/dickens     |
| misa77 0.6.0 safe -1  |   38.3 MB/s |   5330 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.6.0 safe -2  |   30.8 MB/s |   4915 MB/s |     4836078 |  47.45 | silesia/dickens     |
| misa77 0.6.0 safe -3  |   9.18 MB/s |   4261 MB/s |     4378961 |  42.96 | silesia/dickens     |
| lz4hc 1.10.0 -9       |   14.0 MB/s |   2190 MB/s |     4432823 |  43.49 | silesia/dickens     |
| lz4hc 1.10.0 -12      |   7.62 MB/s |   2138 MB/s |     4376097 |  42.93 | silesia/dickens     |
| lzsse4fast 2019-04-18 |    130 MB/s |   2568 MB/s |     5161515 |  50.64 | silesia/dickens     |
| lzsse8fast 2019-04-18 |    129 MB/s |   2521 MB/s |     5174322 |  50.77 | silesia/dickens     |
| snappy 1.2.2          |    218 MB/s |    522 MB/s |     6249045 |  61.31 | silesia/dickens     |
| zxc 0.13.1 -3         |   69.3 MB/s |   3044 MB/s |     5813174 |  57.03 | silesia/dickens     |
| zxc 0.13.1 -4         |   48.4 MB/s |   2836 MB/s |     5221630 |  51.23 | silesia/dickens     |
| zxc 0.13.1 -5         |   31.1 MB/s |   2883 MB/s |     4956392 |  48.63 | silesia/dickens     |
| zxc 0.13.1 -7         |   6.05 MB/s |   1903 MB/s |     3739859 |  36.69 | silesia/dickens     |
| zstd 1.5.7 -1         |    201 MB/s |    884 MB/s |     4261734 |  41.81 | silesia/dickens     |
| lzav 5.16 -1          |    173 MB/s |   1144 MB/s |     4571036 |  44.85 | silesia/dickens     |
| lzav 5.16 -2          |   43.8 MB/s |   1390 MB/s |     3913764 |  38.40 | silesia/dickens     |
| lz4 1.10.0            |    396 MB/s |   2276 MB/s |    26435667 |  51.61 | silesia/mozilla     |
| misa77 0.6.0 --1      |    255 MB/s |   3063 MB/s |    26397739 |  51.54 | silesia/mozilla     |
