| Compressor name          | Compression | Decompress. |  Ratio | Filename            |
| lzsse4fast 2019-04-18    |    322 MB/s |   5063 MB/s |  17.02 | misc/nasa_http.log  |
| lzsse8fast 2019-04-18    |    308 MB/s |   4859 MB/s |  17.39 | misc/nasa_http.log  |
| snappy 1.2.2             |    674 MB/s |   1546 MB/s |  18.92 | misc/nasa_http.log  |
| zxc 0.12.0 -3            |    227 MB/s |   2643 MB/s |  16.58 | misc/nasa_http.log  |
| zxc 0.12.0 -4            |    170 MB/s |   2829 MB/s |  16.21 | misc/nasa_http.log  |
| zxc 0.12.0 -5            |   93.7 MB/s |   3635 MB/s |  14.47 | misc/nasa_http.log  |
| zstd 1.5.7 -1            |    478 MB/s |   1254 MB/s |  11.00 | misc/nasa_http.log  |
| zstd 1.5.7 -3            |    426 MB/s |   1255 MB/s |  10.33 | misc/nasa_http.log  |
| lizard 2.1 -10           |    503 MB/s |   1821 MB/s |  18.82 | misc/nasa_http.log  |
| lz4 1.10.0               |    370 MB/s |   2512 MB/s |  47.59 | misc/silesia.tar    |
| misa77 0.1.0             |   43.9 MB/s |   4285 MB/s |  39.62 | misc/silesia.tar    |
| misa77 0.1.0 adaptive -0 |   7.32 MB/s |   5514 MB/s |  42.75 | misc/silesia.tar    |
| misa77 0.1.0 adaptive -1 |   7.61 MB/s |   5175 MB/s |  40.54 | misc/silesia.tar    |
| misa77 0.1.0 yolo        |   7.68 MB/s |   5513 MB/s |  42.75 | misc/silesia.tar    |
| lz4hc 1.10.0 -12         |   7.31 MB/s |   2534 MB/s |  36.45 | misc/silesia.tar    |
| lzsse2 2019-04-18 -17    |   2.19 MB/s |   2918 MB/s |  35.71 | misc/silesia.tar    |
| lzsse4fast 2019-04-18    |    186 MB/s |   2538 MB/s |  45.26 | misc/silesia.tar    |
| lzsse8fast 2019-04-18    |    183 MB/s |   2668 MB/s |  44.80 | misc/silesia.tar    |
| snappy 1.2.2             |    376 MB/s |    857 MB/s |  47.89 | misc/silesia.tar    |
| zxc 0.12.0 -3            |    115 MB/s |   2839 MB/s |  45.46 | misc/silesia.tar    |
| zxc 0.12.0 -4            |   81.0 MB/s |   2727 MB/s |  42.63 | misc/silesia.tar    |
| zxc 0.12.0 -5            |   48.7 MB/s |   2599 MB/s |  40.25 | misc/silesia.tar    |
| zstd 1.5.7 -1            |    297 MB/s |    902 MB/s |  34.54 | misc/silesia.tar    |
| zstd 1.5.7 -3            |    184 MB/s |    852 MB/s |  31.20 | misc/silesia.tar    |
| lizard 2.1 -10           |    323 MB/s |   2452 MB/s |  48.79 | misc/silesia.tar    |
