| Compressor name          | Compression | Decompress. |  Ratio | Filename            |
| lz4 1.10.0               |    343 MB/s |   2148 MB/s |  70.53 | silesia/ooffice     |
| misa77 0.1.0             |   29.0 MB/s |   2995 MB/s |  60.18 | silesia/ooffice     |
| misa77 0.1.0 adaptive -0 |   3.20 MB/s |   4349 MB/s |  63.70 | silesia/ooffice     |
| misa77 0.1.0 adaptive -1 |   3.27 MB/s |   3790 MB/s |  62.11 | silesia/ooffice     |
| misa77 0.1.0 yolo        |   8.71 MB/s |   4352 MB/s |  63.70 | silesia/ooffice     |
| lz4hc 1.10.0 -12         |   10.2 MB/s |   2228 MB/s |  57.46 | silesia/ooffice     |
| lzsse2 2019-04-18 -17    |   4.61 MB/s |   1921 MB/s |  56.81 | silesia/ooffice     |
| lzsse4fast 2019-04-18    |    106 MB/s |   1898 MB/s |  64.57 | silesia/ooffice     |
| lzsse8fast 2019-04-18    |    100 MB/s |   2165 MB/s |  63.75 | silesia/ooffice     |
| snappy 1.2.2             |    280 MB/s |    700 MB/s |  69.74 | silesia/ooffice     |
| zxc 0.12.0 -3            |    101 MB/s |   3296 MB/s |  79.18 | silesia/ooffice     |
| zxc 0.12.0 -4            |   48.6 MB/s |   2250 MB/s |  64.77 | silesia/ooffice     |
| zxc 0.12.0 -5            |   38.0 MB/s |   2205 MB/s |  62.78 | silesia/ooffice     |
| zstd 1.5.7 -1            |    255 MB/s |    618 MB/s |  58.41 | silesia/ooffice     |
| zstd 1.5.7 -3            |    142 MB/s |    575 MB/s |  50.81 | silesia/ooffice     |
| lizard 2.1 -10           |    276 MB/s |   2199 MB/s |  71.03 | silesia/ooffice     |
| lz4 1.10.0               |    364 MB/s |   2290 MB/s |  52.12 | silesia/osdb        |
| misa77 0.1.0             |   46.1 MB/s |   5726 MB/s |  40.31 | silesia/osdb        |
| misa77 0.1.0 adaptive -0 |   7.10 MB/s |   5731 MB/s |  40.31 | silesia/osdb        |
| misa77 0.1.0 adaptive -1 |   7.21 MB/s |   5733 MB/s |  40.31 | silesia/osdb        |
| misa77 0.1.0 yolo        |   8.19 MB/s |   4808 MB/s |  47.50 | silesia/osdb        |
| lz4hc 1.10.0 -12         |   17.2 MB/s |   2851 MB/s |  39.13 | silesia/osdb        |
| lzsse2 2019-04-18 -17    |   7.14 MB/s |   2887 MB/s |  39.24 | silesia/osdb        |
| lzsse4fast 2019-04-18    |    187 MB/s |   3444 MB/s |  42.26 | silesia/osdb        |
| lzsse8fast 2019-04-18    |    181 MB/s |   3848 MB/s |  41.40 | silesia/osdb        |
| snappy 1.2.2             |    461 MB/s |   1129 MB/s |  52.80 | silesia/osdb        |
| zxc 0.12.0 -3            |    164 MB/s |   4423 MB/s |  65.43 | silesia/osdb        |
| zxc 0.12.0 -4            |   90.8 MB/s |   3223 MB/s |  45.29 | silesia/osdb        |
| zxc 0.12.0 -5            |   60.8 MB/s |   2952 MB/s |  41.72 | silesia/osdb        |
| zstd 1.5.7 -1            |    296 MB/s |    926 MB/s |  36.98 | silesia/osdb        |
| zstd 1.5.7 -3            |    199 MB/s |    992 MB/s |  34.72 | silesia/osdb        |
| lizard 2.1 -10           |    294 MB/s |   1909 MB/s |  52.42 | silesia/osdb        |
| lz4 1.10.0               |    226 MB/s |   2122 MB/s |  48.00 | silesia/reymont     |
| misa77 0.1.0             |   48.0 MB/s |   5483 MB/s |  35.71 | silesia/reymont     |
| misa77 0.1.0 adaptive -0 |   3.06 MB/s |   7023 MB/s |  39.24 | silesia/reymont     |
| misa77 0.1.0 adaptive -1 |   3.12 MB/s |   6731 MB/s |  37.37 | silesia/reymont     |
| misa77 0.1.0 yolo        |   7.58 MB/s |   7023 MB/s |  39.24 | silesia/reymont     |
| lz4hc 1.10.0 -12         |   5.69 MB/s |   2555 MB/s |  31.13 | silesia/reymont     |
| lzsse2 2019-04-18 -17    |   4.14 MB/s |   4088 MB/s |  27.96 | silesia/reymont     |
| lzsse4fast 2019-04-18    |    157 MB/s |   2483 MB/s |  44.14 | silesia/reymont     |
| lzsse8fast 2019-04-18    |    155 MB/s |   2472 MB/s |  44.55 | silesia/reymont     |
| snappy 1.2.2             |    277 MB/s |    641 MB/s |  48.35 | silesia/reymont     |
| zxc 0.12.0 -3            |   84.8 MB/s |   2702 MB/s |  40.79 | silesia/reymont     |
| zxc 0.12.0 -4            |   62.4 MB/s |   2754 MB/s |  39.17 | silesia/reymont     |
| zxc 0.12.0 -5            |   30.3 MB/s |   2732 MB/s |  35.92 | silesia/reymont     |
| zstd 1.5.7 -1            |    196 MB/s |    938 MB/s |  32.43 | silesia/reymont     |
| zstd 1.5.7 -3            |    156 MB/s |    883 MB/s |  29.24 | silesia/reymont     |
| lizard 2.1 -10           |    218 MB/s |   2367 MB/s |  48.06 | silesia/reymont     |
| lz4 1.10.0               |    396 MB/s |   2681 MB/s |  35.72 | silesia/samba       |
| misa77 0.1.0             |   55.2 MB/s |   6207 MB/s |  31.02 | silesia/samba       |
| misa77 0.1.0 adaptive -0 |   5.06 MB/s |   7403 MB/s |  33.34 | silesia/samba       |
| misa77 0.1.0 adaptive -1 |   5.11 MB/s |   7312 MB/s |  32.94 | silesia/samba       |
| misa77 0.1.0 yolo        |   7.24 MB/s |   7382 MB/s |  33.34 | silesia/samba       |
| lz4hc 1.10.0 -12         |   7.66 MB/s |   2784 MB/s |  28.21 | silesia/samba       |
| lzsse2 2019-04-18 -17    |   1.81 MB/s |   3572 MB/s |  28.20 | silesia/samba       |
| lzsse4fast 2019-04-18    |    202 MB/s |   3319 MB/s |  35.18 | silesia/samba       |
| lzsse8fast 2019-04-18    |    196 MB/s |   3491 MB/s |  35.09 | silesia/samba       |
| snappy 1.2.2             |    440 MB/s |   1012 MB/s |  37.09 | silesia/samba       |
| zxc 0.12.0 -3            |    142 MB/s |   2901 MB/s |  34.60 | silesia/samba       |
| zxc 0.12.0 -4            |    108 MB/s |   2906 MB/s |  32.57 | silesia/samba       |
| zxc 0.12.0 -5            |   69.6 MB/s |   2928 MB/s |  31.17 | silesia/samba       |
| zstd 1.5.7 -1            |    338 MB/s |   1169 MB/s |  25.40 | silesia/samba       |
| zstd 1.5.7 -3            |    241 MB/s |   1169 MB/s |  22.93 | silesia/samba       |
| lizard 2.1 -10           |    358 MB/s |   2638 MB/s |  36.69 | silesia/samba       |
| lz4 1.10.0               |    370 MB/s |   2932 MB/s |  93.63 | silesia/sao         |
| misa77 0.1.0             |   23.9 MB/s |   2949 MB/s |  82.26 | silesia/sao         |
| misa77 0.1.0 adaptive -0 |   3.91 MB/s |   6837 MB/s |  87.98 | silesia/sao         |
| misa77 0.1.0 adaptive -1 |   3.94 MB/s |   5643 MB/s |  82.73 | silesia/sao         |
| misa77 0.1.0 yolo        |   9.58 MB/s |   6871 MB/s |  87.98 | silesia/sao         |
| lz4hc 1.10.0 -12         |   11.7 MB/s |   2272 MB/s |  78.17 | silesia/sao         |
| lzsse2 2019-04-18 -17    |   10.8 MB/s |   1511 MB/s |  83.66 | silesia/sao         |
| lzsse4fast 2019-04-18    |    113 MB/s |   2040 MB/s |  86.95 | silesia/sao         |
| lzsse8fast 2019-04-18    |    109 MB/s |   2783 MB/s |  83.37 | silesia/sao         |
| snappy 1.2.2             |    311 MB/s |    797 MB/s |  88.77 | silesia/sao         |
| zxc 0.12.0 -3            |   3169 MB/s |  13202 MB/s |  99.97 | silesia/sao         |
| zxc 0.12.0 -4            |   86.5 MB/s |   4428 MB/s |  93.61 | silesia/sao         |
| zxc 0.12.0 -5            |   30.1 MB/s |   2204 MB/s |  83.24 | silesia/sao         |
| zstd 1.5.7 -1            |    248 MB/s |    591 MB/s |  86.18 | silesia/sao         |
| zstd 1.5.7 -3            |    118 MB/s |    509 MB/s |  76.22 | silesia/sao         |
| lizard 2.1 -10           |    282 MB/s |   2613 MB/s |  93.67 | silesia/sao         |
| lz4 1.10.0               |    274 MB/s |   2291 MB/s |  48.58 | silesia/webster     |
| misa77 0.1.0             |   44.5 MB/s |   5201 MB/s |  35.30 | silesia/webster     |
| misa77 0.1.0 adaptive -0 |   5.77 MB/s |   6453 MB/s |  38.83 | silesia/webster     |
| misa77 0.1.0 adaptive -1 |   5.98 MB/s |   6176 MB/s |  36.42 | silesia/webster     |
| misa77 0.1.0 yolo        |   7.14 MB/s |   6461 MB/s |  38.83 | silesia/webster     |
| lz4hc 1.10.0 -12         |   9.24 MB/s |   2120 MB/s |  33.34 | silesia/webster     |
| lzsse2 2019-04-18 -17    |   4.73 MB/s |   3700 MB/s |  29.84 | silesia/webster     |
| lzsse4fast 2019-04-18    |    160 MB/s |   2993 MB/s |  40.07 | silesia/webster     |
| lzsse8fast 2019-04-18    |    153 MB/s |   2850 MB/s |  40.46 | silesia/webster     |
| snappy 1.2.2             |    264 MB/s |    659 MB/s |  48.20 | silesia/webster     |
| zxc 0.12.0 -3            |   77.2 MB/s |   2415 MB/s |  41.13 | silesia/webster     |
| zxc 0.12.0 -4            |   58.3 MB/s |   2395 MB/s |  40.48 | silesia/webster     |
| zxc 0.12.0 -5            |   39.2 MB/s |   2345 MB/s |  38.45 | silesia/webster     |
| zstd 1.5.7 -1            |    228 MB/s |    917 MB/s |  32.95 | silesia/webster     |
| zstd 1.5.7 -3            |    145 MB/s |    858 MB/s |  29.18 | silesia/webster     |
| lizard 2.1 -10           |    249 MB/s |   2231 MB/s |  48.61 | silesia/webster     |
| lz4 1.10.0               |    501 MB/s |   2582 MB/s |  22.96 | silesia/xml         |
| misa77 0.1.0             |   85.9 MB/s |   9096 MB/s |  19.43 | silesia/xml         |
| misa77 0.1.0 adaptive -0 |   2.14 MB/s |  10561 MB/s |  20.34 | silesia/xml         |
| misa77 0.1.0 adaptive -1 |   2.17 MB/s |  10306 MB/s |  19.59 | silesia/xml         |
| misa77 0.1.0 yolo        |   5.95 MB/s |  10554 MB/s |  20.34 | silesia/xml         |
| lz4hc 1.10.0 -12         |   15.6 MB/s |   3601 MB/s |  14.22 | silesia/xml         |
| lzsse2 2019-04-18 -17    |   2.23 MB/s |   5444 MB/s |  14.37 | silesia/xml         |
| lzsse4fast 2019-04-18    |    253 MB/s |   3499 MB/s |  25.98 | silesia/xml         |
| lzsse8fast 2019-04-18    |    248 MB/s |   3316 MB/s |  26.31 | silesia/xml         |
| snappy 1.2.2             |    533 MB/s |   1306 MB/s |  24.31 | silesia/xml         |
| zxc 0.12.0 -3            |    182 MB/s |   3013 MB/s |  18.93 | silesia/xml         |
| zxc 0.12.0 -4            |    136 MB/s |   3104 MB/s |  18.44 | silesia/xml         |
| zxc 0.12.0 -5            |   88.9 MB/s |   3324 MB/s |  16.78 | silesia/xml         |
| zstd 1.5.7 -1            |    457 MB/s |   1410 MB/s |  12.97 | silesia/xml         |
| zstd 1.5.7 -3            |    372 MB/s |   1399 MB/s |  11.89 | silesia/xml         |
| lizard 2.1 -10           |    456 MB/s |   2345 MB/s |  23.20 | silesia/xml         |
| lz4 1.10.0               |   1076 MB/s |   7543 MB/s |  99.01 | silesia/x-ray       |
| misa77 0.1.0             |   22.2 MB/s |   1804 MB/s |  85.67 | silesia/x-ray       |
| misa77 0.1.0 adaptive -0 |   4.65 MB/s |   4109 MB/s |  90.93 | silesia/x-ray       |
| misa77 0.1.0 adaptive -1 |   4.81 MB/s |   2847 MB/s |  87.36 | silesia/x-ray       |
| misa77 0.1.0 yolo        |   10.9 MB/s |   4103 MB/s |  90.99 | silesia/x-ray       |
| lz4hc 1.10.0 -12         |   19.1 MB/s |   1839 MB/s |  84.64 | silesia/x-ray       |
| lzsse2 2019-04-18 -17    |   10.7 MB/s |   1302 MB/s |  83.03 | silesia/x-ray       |
| lzsse4fast 2019-04-18    |    117 MB/s |   1977 MB/s |  88.81 | silesia/x-ray       |
| lzsse8fast 2019-04-18    |    111 MB/s |   2581 MB/s |  85.54 | silesia/x-ray       |
| snappy 1.2.2             |   5764 MB/s |  10262 MB/s |  99.81 | silesia/x-ray       |
| zxc 0.12.0 -3            |   3841 MB/s |  13738 MB/s | 100.00 | silesia/x-ray       |
| zxc 0.12.0 -4            |   3967 MB/s |  13750 MB/s | 100.00 | silesia/x-ray       |
| zxc 0.12.0 -5            |   34.4 MB/s |   2656 MB/s |  89.88 | silesia/x-ray       |
| zstd 1.5.7 -1            |    506 MB/s |    722 MB/s |  79.91 | silesia/x-ray       |
| zstd 1.5.7 -3            |    111 MB/s |    546 MB/s |  71.81 | silesia/x-ray       |
| lizard 2.1 -10           |    754 MB/s |  13355 MB/s |  99.83 | silesia/x-ray       |
| lz4 1.10.0               |    274 MB/s |   2363 MB/s |  57.26 | enwik/enwik8        |
| misa77 0.1.0             |   36.1 MB/s |   4130 MB/s |  44.03 | enwik/enwik8        |
| misa77 0.1.0 adaptive -0 |   6.96 MB/s |   5302 MB/s |  48.67 | enwik/enwik8        |
| misa77 0.1.0 adaptive -1 |   7.28 MB/s |   5020 MB/s |  45.83 | enwik/enwik8        |
| misa77 0.1.0 yolo        |   7.66 MB/s |   5305 MB/s |  48.67 | enwik/enwik8        |
| lz4hc 1.10.0 -12         |   9.92 MB/s |   2171 MB/s |  41.91 | enwik/enwik8        |
| lzsse2 2019-04-18 -17    |   5.40 MB/s |   3039 MB/s |  38.06 | enwik/enwik8        |
| lzsse4fast 2019-04-18    |    141 MB/s |   2601 MB/s |  47.11 | enwik/enwik8        |
| lzsse8fast 2019-04-18    |    135 MB/s |   2562 MB/s |  47.25 | enwik/enwik8        |
| snappy 1.2.2             |    239 MB/s |    569 MB/s |  55.93 | enwik/enwik8        |
| zxc 0.12.0 -3            |   69.8 MB/s |   2671 MB/s |  52.05 | enwik/enwik8        |
| zxc 0.12.0 -4            |   53.0 MB/s |   2594 MB/s |  48.60 | enwik/enwik8        |
| zxc 0.12.0 -5            |   38.7 MB/s |   2627 MB/s |  46.85 | enwik/enwik8        |
| zstd 1.5.7 -1            |    224 MB/s |    830 MB/s |  40.66 | enwik/enwik8        |
| zstd 1.5.7 -3            |    130 MB/s |    790 MB/s |  35.42 | enwik/enwik8        |
| lizard 2.1 -10           |    243 MB/s |   2463 MB/s |  57.31 | enwik/enwik8        |
| lz4 1.10.0               |    272 MB/s |   2228 MB/s |  41.79 | misc/sqlite3.c      |
| misa77 0.1.0             |   51.0 MB/s |   5624 MB/s |  31.94 | misc/sqlite3.c      |
| misa77 0.1.0 adaptive -0 |   3.51 MB/s |   7120 MB/s |  34.81 | misc/sqlite3.c      |
| misa77 0.1.0 adaptive -1 |   3.64 MB/s |   6721 MB/s |  32.65 | misc/sqlite3.c      |
| misa77 0.1.0 yolo        |   7.25 MB/s |   7117 MB/s |  34.81 | misc/sqlite3.c      |
| lz4hc 1.10.0 -12         |   7.55 MB/s |   2360 MB/s |  29.32 | misc/sqlite3.c      |
| lzsse2 2019-04-18 -17    |   4.75 MB/s |   4106 MB/s |  26.43 | misc/sqlite3.c      |
| lzsse4fast 2019-04-18    |    175 MB/s |   3110 MB/s |  37.29 | misc/sqlite3.c      |
| lzsse8fast 2019-04-18    |    170 MB/s |   2997 MB/s |  37.74 | misc/sqlite3.c      |
| snappy 1.2.2             |    304 MB/s |    738 MB/s |  41.59 | misc/sqlite3.c      |
| zxc 0.12.0 -3            |   93.0 MB/s |   2514 MB/s |  36.17 | misc/sqlite3.c      |
| zxc 0.12.0 -4            |   70.8 MB/s |   2515 MB/s |  35.60 | misc/sqlite3.c      |
| zxc 0.12.0 -5            |   42.5 MB/s |   2522 MB/s |  33.60 | misc/sqlite3.c      |
| zstd 1.5.7 -1            |    225 MB/s |    911 MB/s |  29.04 | misc/sqlite3.c      |
| zstd 1.5.7 -3            |    170 MB/s |    898 MB/s |  25.54 | misc/sqlite3.c      |
| lizard 2.1 -10           |    252 MB/s |   2332 MB/s |  42.07 | misc/sqlite3.c      |
| lz4 1.10.0               |    353 MB/s |   2161 MB/s |  29.49 | misc/typescript.js  |
| misa77 0.1.0             |   73.0 MB/s |   7169 MB/s |  22.99 | misc/typescript.js  |
| misa77 0.1.0 adaptive -0 |   3.33 MB/s |   8553 MB/s |  24.49 | misc/typescript.js  |
| misa77 0.1.0 adaptive -1 |   3.39 MB/s |   8380 MB/s |  23.63 | misc/typescript.js  |
| misa77 0.1.0 yolo        |   6.83 MB/s |   8551 MB/s |  24.49 | misc/typescript.js  |
| lz4hc 1.10.0 -12         |   7.19 MB/s |   2359 MB/s |  20.16 | misc/typescript.js  |
| lzsse2 2019-04-18 -17    |   4.10 MB/s |   5126 MB/s |  18.11 | misc/typescript.js  |
| lzsse4fast 2019-04-18    |    233 MB/s |   3788 MB/s |  26.26 | misc/typescript.js  |
| lzsse8fast 2019-04-18    |    224 MB/s |   3498 MB/s |  26.92 | misc/typescript.js  |
| snappy 1.2.2             |    415 MB/s |   1064 MB/s |  28.96 | misc/typescript.js  |
| zxc 0.12.0 -3            |    136 MB/s |   2270 MB/s |  25.93 | misc/typescript.js  |
| zxc 0.12.0 -4            |    103 MB/s |   2251 MB/s |  25.42 | misc/typescript.js  |
| zxc 0.12.0 -5            |   54.1 MB/s |   2203 MB/s |  23.56 | misc/typescript.js  |
| zstd 1.5.7 -1            |    285 MB/s |   1028 MB/s |  19.32 | misc/typescript.js  |
| zstd 1.5.7 -3            |    254 MB/s |   1037 MB/s |  17.75 | misc/typescript.js  |
| lizard 2.1 -10           |    328 MB/s |   2024 MB/s |  29.45 | misc/typescript.js  |
| lz4 1.10.0               |    578 MB/s |   3222 MB/s |  20.43 | misc/gharchive.json |
| misa77 0.1.0             |   82.3 MB/s |   6912 MB/s |  20.55 | misc/gharchive.json |
| misa77 0.1.0 adaptive -0 |   4.42 MB/s |   8138 MB/s |  22.01 | misc/gharchive.json |
| misa77 0.1.0 adaptive -1 |   4.53 MB/s |   7804 MB/s |  21.03 | misc/gharchive.json |
| misa77 0.1.0 yolo        |   6.00 MB/s |   8107 MB/s |  22.01 | misc/gharchive.json |
| lz4hc 1.10.0 -12         |   20.8 MB/s |   4031 MB/s |  15.77 | misc/gharchive.json |
| lzsse2 2019-04-18 -17    |   0.68 MB/s |   5046 MB/s |  15.97 | misc/gharchive.json |
| lzsse4fast 2019-04-18    |    298 MB/s |   4659 MB/s |  20.77 | misc/gharchive.json |
| lzsse8fast 2019-04-18    |    285 MB/s |   4632 MB/s |  20.83 | misc/gharchive.json |
| snappy 1.2.2             |    658 MB/s |   1489 MB/s |  23.45 | misc/gharchive.json |
| zxc 0.12.0 -3            |    238 MB/s |   3530 MB/s |  18.65 | misc/gharchive.json |
| zxc 0.12.0 -4            |    189 MB/s |   3556 MB/s |  18.37 | misc/gharchive.json |
| zxc 0.12.0 -5            |    139 MB/s |   3745 MB/s |  17.71 | misc/gharchive.json |
| zstd 1.5.7 -1            |    574 MB/s |   1703 MB/s |  11.50 | misc/gharchive.json |
