| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| --------------------- | ----------- | ----------- | ----------- | ------ | ------------------- |
| lz4 1.10.0            |    242 MB/s |   2377 MB/s |     6428742 |  63.07 | silesia/dickens     |
| misa77 0.5.0 -0       |   38.1 MB/s |   5490 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.5.0 -1       |   39.0 MB/s |   4502 MB/s |     4680658 |  45.92 | silesia/dickens     |
| misa77 0.5.0 -2       |   6.12 MB/s |   4246 MB/s |     4138278 |  40.60 | silesia/dickens     |
| misa77 0.5.0 safe -0  |   38.1 MB/s |   5328 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.5.0 safe -1  |   39.1 MB/s |   4350 MB/s |     4680658 |  45.92 | silesia/dickens     |
| lz4hc 1.10.0 -9       |   13.9 MB/s |   2181 MB/s |     4432823 |  43.49 | silesia/dickens     |
| lz4hc 1.10.0 -12      |   7.66 MB/s |   2137 MB/s |     4376097 |  42.93 | silesia/dickens     |
| lzsse4fast 2019-04-18 |    130 MB/s |   2553 MB/s |     5161515 |  50.64 | silesia/dickens     |
| lzsse8fast 2019-04-18 |    129 MB/s |   2514 MB/s |     5174322 |  50.77 | silesia/dickens     |
| snappy 1.2.2          |    218 MB/s |    523 MB/s |     6249045 |  61.31 | silesia/dickens     |
| zxc 0.13.1 -3         |   70.4 MB/s |   3045 MB/s |     5813174 |  57.03 | silesia/dickens     |
| zxc 0.13.1 -4         |   48.3 MB/s |   2837 MB/s |     5221630 |  51.23 | silesia/dickens     |
| zxc 0.13.1 -5         |   31.2 MB/s |   2884 MB/s |     4956392 |  48.63 | silesia/dickens     |
| zxc 0.13.1 -7         |   6.06 MB/s |   1906 MB/s |     3739859 |  36.69 | silesia/dickens     |
| zstd 1.5.7 -1         |    201 MB/s |    882 MB/s |     4261734 |  41.81 | silesia/dickens     |
| lzav 5.11 -1          |    165 MB/s |   1175 MB/s |     4628824 |  45.41 | silesia/dickens     |
| lzav 5.11 -2          |   42.3 MB/s |   1404 MB/s |     3941917 |  38.67 | silesia/dickens     |
| lz4 1.10.0            |    396 MB/s |   2273 MB/s |    26435667 |  51.61 | silesia/mozilla     |
| misa77 0.5.0 -0       |   48.3 MB/s |   4603 MB/s |    24703870 |  48.23 | silesia/mozilla     |
| misa77 0.5.0 -1       |   48.4 MB/s |   4119 MB/s |    23410515 |  45.71 | silesia/mozilla     |
| misa77 0.5.0 -2       |   7.52 MB/s |   4441 MB/s |    22645756 |  44.21 | silesia/mozilla     |
| misa77 0.5.0 safe -0  |   48.2 MB/s |   4475 MB/s |    24703870 |  48.23 | silesia/mozilla     |
| misa77 0.5.0 safe -1  |   48.3 MB/s |   4014 MB/s |    23410515 |  45.71 | silesia/mozilla     |
| lz4hc 1.10.0 -9       |   25.1 MB/s |   2439 MB/s |    22078791 |  43.11 | silesia/mozilla     |
| lz4hc 1.10.0 -12      |   4.36 MB/s |   2623 MB/s |    22014250 |  42.98 | silesia/mozilla     |
| lzsse4fast 2019-04-18 |    175 MB/s |   1824 MB/s |    27406939 |  53.51 | silesia/mozilla     |
| lzsse8fast 2019-04-18 |    172 MB/s |   1928 MB/s |    26993974 |  52.70 | silesia/mozilla     |
| snappy 1.2.2          |    383 MB/s |    798 MB/s |    26568762 |  51.87 | silesia/mozilla     |
| zxc 0.13.1 -3         |    111 MB/s |   2310 MB/s |    26803592 |  52.33 | silesia/mozilla     |
| zxc 0.13.1 -4         |   82.6 MB/s |   2235 MB/s |    25000669 |  48.81 | silesia/mozilla     |
| zxc 0.13.1 -5         |   49.8 MB/s |   2234 MB/s |    23728772 |  46.33 | silesia/mozilla     |
| zxc 0.13.1 -7         |   5.64 MB/s |   1438 MB/s |    21040060 |  41.08 | silesia/mozilla     |
| zstd 1.5.7 -1         |    301 MB/s |    743 MB/s |    19968503 |  38.99 | silesia/mozilla     |
| lzav 5.11 -1          |    309 MB/s |   1537 MB/s |    23715733 |  46.30 | silesia/mozilla     |
| lzav 5.11 -2          |   63.0 MB/s |   1521 MB/s |    21329096 |  41.64 | silesia/mozilla     |
| lz4 1.10.0            |    383 MB/s |   2658 MB/s |     5440937 |  54.57 | silesia/mr          |
| misa77 0.5.0 -0       |   44.3 MB/s |   5048 MB/s |     5301136 |  53.17 | silesia/mr          |
| misa77 0.5.0 -1       |   40.3 MB/s |   3338 MB/s |     4707646 |  47.22 | silesia/mr          |
| misa77 0.5.0 -2       |   7.17 MB/s |   4195 MB/s |     4204420 |  42.17 | silesia/mr          |
| misa77 0.5.0 safe -0  |   44.3 MB/s |   4837 MB/s |     5301136 |  53.17 | silesia/mr          |
| misa77 0.5.0 safe -1  |   40.3 MB/s |   3213 MB/s |     4707646 |  47.22 | silesia/mr          |
| lz4hc 1.10.0 -9       |   12.6 MB/s |   2531 MB/s |     4245211 |  42.58 | silesia/mr          |
| lz4hc 1.10.0 -12      |   5.42 MB/s |   2535 MB/s |     4189363 |  42.02 | silesia/mr          |
| lzsse4fast 2019-04-18 |    154 MB/s |   2027 MB/s |     7034206 |  70.55 | silesia/mr          |
| lzsse8fast 2019-04-18 |    165 MB/s |   2421 MB/s |     6856430 |  68.77 | silesia/mr          |
| snappy 1.2.2          |    365 MB/s |    739 MB/s |     5399507 |  54.15 | silesia/mr          |
| zxc 0.13.1 -3         |   95.1 MB/s |   3107 MB/s |     4908330 |  49.23 | silesia/mr          |
| zxc 0.13.1 -4         |   65.9 MB/s |   3033 MB/s |     4786383 |  48.01 | silesia/mr          |
| zxc 0.13.1 -5         |   44.8 MB/s |   2953 MB/s |     4577653 |  45.91 | silesia/mr          |
| zxc 0.13.1 -7         |   6.94 MB/s |   1733 MB/s |     3512373 |  35.23 | silesia/mr          |
| zstd 1.5.7 -1         |    270 MB/s |    909 MB/s |     3813409 |  38.25 | silesia/mr          |
| lzav 5.11 -1          |    262 MB/s |   1674 MB/s |     4651753 |  46.65 | silesia/mr          |
| lzav 5.11 -2          |   48.1 MB/s |   1434 MB/s |     4201266 |  42.14 | silesia/mr          |
| lz4 1.10.0            |    625 MB/s |   3350 MB/s |     5533040 |  16.49 | silesia/nci         |
| misa77 0.5.0 -0       |    151 MB/s |   6898 MB/s |     5591111 |  16.66 | silesia/nci         |
| misa77 0.5.0 -1       |    143 MB/s |   6863 MB/s |     5452955 |  16.25 | silesia/nci         |
| misa77 0.5.0 -2       |   6.97 MB/s |   7696 MB/s |     2907103 |   8.66 | silesia/nci         |
| misa77 0.5.0 safe -0  |    151 MB/s |   6777 MB/s |     5591111 |  16.66 | silesia/nci         |
| misa77 0.5.0 safe -1  |    143 MB/s |   6741 MB/s |     5452955 |  16.25 | silesia/nci         |
| lz4hc 1.10.0 -9       |   27.3 MB/s |   3930 MB/s |     3673771 |  10.95 | silesia/nci         |
| lz4hc 1.10.0 -12      |   11.1 MB/s |   3789 MB/s |     3617512 |  10.78 | silesia/nci         |
| lzsse4fast 2019-04-18 |    357 MB/s |   4604 MB/s |     5711408 |  17.02 | silesia/nci         |
| lzsse8fast 2019-04-18 |    353 MB/s |   4440 MB/s |     5796797 |  17.28 | silesia/nci         |
| snappy 1.2.2          |    723 MB/s |   1510 MB/s |     6121795 |  18.24 | silesia/nci         |
| zxc 0.13.1 -3         |    243 MB/s |   4056 MB/s |     4837924 |  14.42 | silesia/nci         |
| zxc 0.13.1 -4         |    174 MB/s |   4201 MB/s |     4762858 |  14.19 | silesia/nci         |
| zxc 0.13.1 -5         |    108 MB/s |   4264 MB/s |     4378198 |  13.05 | silesia/nci         |
| zxc 0.13.1 -7         |   2.14 MB/s |   3006 MB/s |     3059425 |   9.12 | silesia/nci         |
| zstd 1.5.7 -1         |    560 MB/s |   1485 MB/s |     2848578 |   8.49 | silesia/nci         |
| lzav 5.11 -1          |    595 MB/s |   3094 MB/s |     4266147 |  12.71 | silesia/nci         |
| lzav 5.11 -2          |    124 MB/s |   3757 MB/s |     3337872 |   9.95 | silesia/nci         |
| lz4 1.10.0            |    343 MB/s |   2143 MB/s |     4338918 |  70.53 | silesia/ooffice     |
| misa77 0.5.0 -0       |   28.7 MB/s |   3828 MB/s |     4057627 |  65.95 | silesia/ooffice     |
| misa77 0.5.0 -1       |   30.6 MB/s |   3043 MB/s |     3704055 |  60.21 | silesia/ooffice     |
| misa77 0.5.0 -2       |   6.63 MB/s |   3884 MB/s |     3646223 |  59.27 | silesia/ooffice     |
| misa77 0.5.0 safe -0  |   28.7 MB/s |   3724 MB/s |     4057627 |  65.95 | silesia/ooffice     |
| misa77 0.5.0 safe -1  |   30.6 MB/s |   2974 MB/s |     3704055 |  60.21 | silesia/ooffice     |
| lz4hc 1.10.0 -9       |   22.9 MB/s |   2211 MB/s |     3543764 |  57.60 | silesia/ooffice     |
| lz4hc 1.10.0 -12      |   10.2 MB/s |   2222 MB/s |     3535250 |  57.46 | silesia/ooffice     |
| lzsse4fast 2019-04-18 |    106 MB/s |   1889 MB/s |     3972687 |  64.57 | silesia/ooffice     |
| lzsse8fast 2019-04-18 |    100 MB/s |   2160 MB/s |     3922013 |  63.75 | silesia/ooffice     |
| snappy 1.2.2          |    280 MB/s |    694 MB/s |     4290349 |  69.74 | silesia/ooffice     |
| zxc 0.13.1 -3         |    102 MB/s |   3268 MB/s |     4871085 |  79.18 | silesia/ooffice     |
| zxc 0.13.1 -4         |   48.8 MB/s |   2276 MB/s |     3984641 |  64.77 | silesia/ooffice     |
| zxc 0.13.1 -5         |   37.9 MB/s |   2229 MB/s |     3862608 |  62.78 | silesia/ooffice     |
| zxc 0.13.1 -7         |   8.98 MB/s |   1107 MB/s |     3379626 |  54.93 | silesia/ooffice     |
| zstd 1.5.7 -1         |    255 MB/s |    618 MB/s |     3593224 |  58.41 | silesia/ooffice     |
| lzav 5.11 -1          |    270 MB/s |   1655 MB/s |     4017547 |  65.30 | silesia/ooffice     |
| lzav 5.11 -2          |   47.8 MB/s |   1314 MB/s |     3560078 |  57.87 | silesia/ooffice     |
| lz4 1.10.0            |    365 MB/s |   2289 MB/s |     5256666 |  52.12 | silesia/osdb        |
| misa77 0.5.0 -0       |   51.3 MB/s |   5447 MB/s |     4105485 |  40.71 | silesia/osdb        |
| misa77 0.5.0 -1       |   52.6 MB/s |   5774 MB/s |     4065267 |  40.31 | silesia/osdb        |
| misa77 0.5.0 -2       |   6.57 MB/s |   5980 MB/s |     3646510 |  36.16 | silesia/osdb        |
| misa77 0.5.0 safe -0  |   51.3 MB/s |   5190 MB/s |     4105485 |  40.71 | silesia/osdb        |
| misa77 0.5.0 safe -1  |   52.6 MB/s |   5471 MB/s |     4065267 |  40.31 | silesia/osdb        |
| lz4hc 1.10.0 -9       |   36.1 MB/s |   2599 MB/s |     3977505 |  39.44 | silesia/osdb        |
| lz4hc 1.10.0 -12      |   17.2 MB/s |   2840 MB/s |     3946233 |  39.13 | silesia/osdb        |
| lzsse4fast 2019-04-18 |    187 MB/s |   3418 MB/s |     4262592 |  42.26 | silesia/osdb        |
| lzsse8fast 2019-04-18 |    180 MB/s |   3824 MB/s |     4175474 |  41.40 | silesia/osdb        |
| snappy 1.2.2          |    461 MB/s |   1124 MB/s |     5324851 |  52.80 | silesia/osdb        |
| zxc 0.13.1 -3         |    166 MB/s |   4428 MB/s |     6598704 |  65.43 | silesia/osdb        |
| zxc 0.13.1 -4         |   91.2 MB/s |   3233 MB/s |     4567995 |  45.29 | silesia/osdb        |
| zxc 0.13.1 -5         |   60.8 MB/s |   2958 MB/s |     4207554 |  41.72 | silesia/osdb        |
| zxc 0.13.1 -7         |   8.24 MB/s |   1716 MB/s |     3565281 |  35.35 | silesia/osdb        |
| zstd 1.5.7 -1         |    295 MB/s |    923 MB/s |     3729819 |  36.98 | silesia/osdb        |
| lzav 5.11 -1          |    368 MB/s |   2353 MB/s |     4023475 |  39.89 | silesia/osdb        |
| lzav 5.11 -2          |   70.0 MB/s |   2416 MB/s |     3978122 |  39.44 | silesia/osdb        |
| lz4 1.10.0            |    227 MB/s |   2120 MB/s |     3181387 |  48.00 | silesia/reymont     |
| misa77 0.5.0 -0       |   58.3 MB/s |   6190 MB/s |     2514389 |  37.94 | silesia/reymont     |
| misa77 0.5.0 -1       |   57.4 MB/s |   5682 MB/s |     2368486 |  35.74 | silesia/reymont     |
| misa77 0.5.0 -2       |   6.17 MB/s |   5530 MB/s |     1886366 |  28.46 | silesia/reymont     |
| misa77 0.5.0 safe -0  |   58.2 MB/s |   5970 MB/s |     2514389 |  37.94 | silesia/reymont     |
