fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     766     -   |    2495     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1056    1606 |    4918    4993 |  1.34  1.33 |   8
pha      |    1002    1373 |    4640    4221 |  1.34  1.34 |   8
td_naive |      46      47 |     351     346 |  1.34  1.33 |   8
td_scl_opt |     118     116 |     572     557 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1476    1517 |  1.34  1.33 |   8
td_simdopt |     986    1565 |    2440    2369 |  1.34  1.33 |   8
huf0     |    1795     -   |    2072     -   |  1.36   -   |   8
huf0_4x2 |    1842    2787 |    1838    1878 |  1.36  1.36 |   8
fse_stk  |     743     852 |     812     863 |  1.37  1.37 |   8
fse_x8y1 |    1200    1922 |    1937    2142 |  1.37  1.37 |   8
oo_huff  |    2389     -   |    3155     -   |  1.36   -   |   8
oo_tans  |     813     -   |    2436     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     515    2559 |   10667   11638 |  4.60  4.57 |   8
pha      |     500    2105 |    6390    6726 |  6.13  6.07 |   8
td_naive |     186     272 |     927     922 |  4.63  4.59 |   8
td_scl_opt |     261     470 |    1397    1409 |  4.60  4.58 |   8
td_nv_simd |     186     270 |    2754    2855 |  4.63  4.59 |   8
td_simdopt |     498    2445 |    5714    5806 |  4.60  4.58 |   8
huf0     |    1235     -   |    2682     -   |  4.79   -   |   8
huf0_4x2 |    1246    2785 |    2569    2649 |  4.79  4.78 |   8
fse_stk  |     631     853 |     660     665 |  6.42  6.50 |   8
fse_x8y1 |     371     863 |     647     663 |  6.49  6.50 |   8
oo_huff  |    1668     -   |    3147     -   |  4.79   -   |   8
oo_tans  |     692     -   |    2512     -   |  6.44   -   |   8

