[100%] Built target pivco_bench_golomb
fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     536     765 |    2372    2318 |  1.34  1.33 |   8
pha      |     517     699 |    2249    2066 |  1.34  1.34 |   8
td_naive |      36      36 |      47      46 |  1.34  1.33 |   8
td_scl_opt |      85      86 |      90      85 |  1.34  1.33 |   8
td_nv_simd |      36      36 |     626     625 |  1.34  1.33 |   8
td_simdopt |     493     728 |    1135    1116 |  1.34  1.33 |   8
huf0     |     960     -   |    1491     -   |  1.36   -   |   8
huf0_4x2 |     960    1616 |    1328    1357 |  1.36  1.36 |   8
fse_stk  |     479     606 |     568     581 |  1.37  1.37 |   8
fse_x8y1 |     606     912 |    1162    1238 |  1.37  1.37 |   8
oo_huff  |    1105     -   |    1791     -   |  1.36   -   |   8
oo_tans  |     373     -   |    1435     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     368    1396 |    5405    5863 |  4.60  4.57 |   8
pha      |     347    1129 |    3428    3561 |  6.13  6.07 |   8
td_naive |     140     200 |     227     227 |  4.63  4.59 |   8
td_scl_opt |     189     322 |     398     411 |  4.60  4.58 |   8
td_nv_simd |     140     200 |    1401    1392 |  4.63  4.59 |   8
td_simdopt |     347    1307 |    3784    3801 |  4.60  4.58 |   8
huf0     |     848     -   |    1850     -   |  4.79   -   |   8
huf0_4x2 |     849    1625 |    1898    1966 |  4.79  4.78 |   8
fse_stk  |     449     607 |     474     488 |  6.42  6.50 |   8
fse_x8y1 |     277     608 |     469     488 |  6.49  6.50 |   8
oo_huff  |    1025     -   |    1773     -   |  4.79   -   |   8
oo_tans  |     368     -   |    1445     -   |  6.44   -   |   8

