fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1091    1967 |    5506    5643 |  1.34  1.33 |   8
pha      |    1013    1607 |    5051    4352 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      83      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1065    1031 |  1.34  1.33 |   8
td_simdopt |    1000    2219 |    2502    2401 |  1.34  1.33 |   8
huf0     |    1293     -   |    1497     -   |  1.36   -   |   8
huf0_4x2 |    1295    2065 |    1328    1359 |  1.36  1.36 |   8
fse_stk  |     615     747 |     525     531 |  1.37  1.37 |   8
fse_x8y1 |     729     965 |    1329    1398 |  1.37  1.37 |   8
oo_huff  |    1332     -   |    2109     -   |  1.36   -   |   8
oo_tans  |     485     -   |    1405     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     512    4033 |    8775   11547 |  4.60  4.57 |   8
pha      |     476    2516 |    4602    5273 |  6.13  6.07 |   8
td_naive |     145     199 |     214     215 |  4.63  4.59 |   8
td_scl_opt |     200     326 |     417     440 |  4.60  4.58 |   8
td_nv_simd |     145     199 |    1654    1637 |  4.63  4.59 |   8
td_simdopt |     489    5176 |    7784    8128 |  4.65  4.62 |   8
huf0     |    1083     -   |    1879     -   |  4.79   -   |   8
huf0_4x2 |    1083    2051 |    1911    1987 |  4.79  4.78 |   8
fse_stk  |     559     756 |     536     548 |  6.42  6.50 |   8
fse_x8y1 |     339     756 |     528     547 |  6.49  6.50 |   8
oo_huff  |    1174     -   |    2105     -   |  4.79   -   |   8
oo_tans  |     465     -   |    1443     -   |  6.44   -   |   8

