[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     496     -   |    1462     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1170    2291 |    5566    5889 |  1.34  1.33 |   8
pha      |    1068    1790 |    5090    4379 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      83      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1125    1113 |  1.34  1.33 |   8
td_simdopt |    1003    2221 |    2284    2358 |  1.34  1.33 |   8
huf0     |    1299     -   |    1496     -   |  1.36   -   |   8
huf0_4x2 |    1298    2074 |    1326    1356 |  1.36  1.36 |   8
fse_stk  |     617     751 |     524     531 |  1.37  1.37 |   8
fse_x8y1 |     740     987 |    1310    1375 |  1.37  1.37 |   8
oo_huff  |    1331     -   |    2109     -   |  1.36   -   |   8
oo_tans  |     480     -   |    1447     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     520    4618 |    9046   12653 |  4.60  4.57 |   8
pha      |     483    2677 |    4815    5686 |  6.13  6.07 |   8
td_naive |     145     198 |     213     214 |  4.63  4.59 |   8
td_scl_opt |     200     324 |     418     441 |  4.60  4.58 |   8
td_nv_simd |     145     198 |    1641    1620 |  4.63  4.59 |   8
td_simdopt |     489    5160 |    7313    7562 |  4.65  4.62 |   8
huf0     |    1085     -   |    1872     -   |  4.79   -   |   8
huf0_4x2 |    1084    2062 |    1905    1981 |  4.79  4.78 |   8
fse_stk  |     559     755 |     536     547 |  6.42  6.50 |   8
fse_x8y1 |     339     755 |     528     547 |  6.49  6.50 |   8
oo_huff  |    1178     -   |    2106     -   |  4.79   -   |   8
oo_tans  |     466     -   |    1449     -   |  6.44   -   |   8

