fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     790     -   |    2513     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     989    1560 |    3663    4825 |  1.34  1.33 |   8
pha      |     945    1329 |    3496    4028 |  1.34  1.34 |   8
td_naive |      47      48 |     353     352 |  1.34  1.33 |   8
td_scl_opt |     120     119 |     616     588 |  1.34  1.33 |   8
td_nv_simd |      47      48 |    1473    1523 |  1.34  1.33 |   8
td_simdopt |     991    1578 |    2438    2420 |  1.34  1.33 |   8
huf0     |    1784     -   |    2121     -   |  1.36   -   |   8
huf0_4x2 |    1759    2869 |    1936    1902 |  1.36  1.36 |   8
fse_stk  |     769     877 |     834     861 |  1.37  1.37 |   8
fse_x8y1 |    1201    1922 |    1946    2199 |  1.37  1.37 |   8
oo_huff  |    2402     -   |    3175     -   |  1.36   -   |   8
oo_tans  |     818     -   |    2439     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     501    2433 |    6114   11984 |  4.60  4.57 |   8
pha      |     477    2024 |    4346    6867 |  6.13  6.07 |   8
td_naive |     191     277 |     924     947 |  4.63  4.59 |   8
td_scl_opt |     261     485 |    1376    1417 |  4.60  4.58 |   8
td_nv_simd |     193     279 |    2880    2757 |  4.63  4.59 |   8
td_simdopt |     499    2478 |    5774    5884 |  4.60  4.58 |   8
huf0     |    1247     -   |    2719     -   |  4.79   -   |   8
huf0_4x2 |    1269    2783 |    2614    2705 |  4.79  4.78 |   8
fse_stk  |     636     867 |     665     685 |  6.42  6.50 |   8
fse_x8y1 |     375     884 |     651     674 |  6.49  6.50 |   8
oo_huff  |    1694     -   |    3133     -   |  4.79   -   |   8
oo_tans  |     696     -   |    2470     -   |  6.44   -   |   8

