fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     773     -   |    2493     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1082    1607 |    4953    4898 |  1.34  1.33 |   8
pha      |    1003    1416 |    4677    4247 |  1.34  1.34 |   8
td_naive |      46      47 |     349     351 |  1.34  1.33 |   8
td_scl_opt |     118     117 |     582     561 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1478    1514 |  1.34  1.33 |   8
td_simdopt |    1014    1695 |    2455    2406 |  1.34  1.33 |   8
huf0     |    1790     -   |    2177     -   |  1.36   -   |   8
huf0_4x2 |    1799    2787 |    1920    2002 |  1.36  1.36 |   8
fse_stk  |     754     855 |     857     867 |  1.37  1.37 |   8
fse_x8y1 |    1197    1916 |    2022    2086 |  1.37  1.37 |   8
oo_huff  |    2390     -   |    3162     -   |  1.36   -   |   8
oo_tans  |     815     -   |    2525     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     522    2569 |   10744   11742 |  4.60  4.57 |   8
pha      |     503    2115 |    6421    6774 |  6.13  6.07 |   8
td_naive |     190     275 |     936     943 |  4.63  4.59 |   8
td_scl_opt |     262     483 |    1415    1432 |  4.60  4.58 |   8
td_nv_simd |     188     273 |    2765    2829 |  4.63  4.59 |   8
td_simdopt |     497    2586 |    5758    5848 |  4.60  4.58 |   8
huf0     |    1299     -   |    2714     -   |  4.79   -   |   8
huf0_4x2 |    1246    2827 |    2602    2665 |  4.79  4.78 |   8
fse_stk  |     631     888 |     664     676 |  6.42  6.50 |   8
fse_x8y1 |     373     884 |     655     667 |  6.49  6.50 |   8
oo_huff  |    1679     -   |    3120     -   |  4.79   -   |   8
oo_tans  |     712     -   |    2467     -   |  6.44   -   |   8

