fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
oo_tans  |     764     -   |    2608     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1050    1595 |    4967    5130 |  1.34  1.33 |   8
pha      |     996    1360 |    4669    4018 |  1.34  1.34 |   8
td_naive |      46      47 |     353     348 |  1.34  1.33 |   8
td_scl_opt |     117     114 |     605     584 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1537    1507 |  1.34  1.33 |   8
td_simdopt |     989    1572 |    2443    2414 |  1.34  1.33 |   8
huf0     |    1791     -   |    2077     -   |  1.36   -   |   8
huf0_4x2 |    1783    2810 |    1944    1868 |  1.36  1.36 |   8
fse_stk  |     760     865 |     852     844 |  1.37  1.37 |   8
fse_x8y1 |    1199    1956 |    1974    2093 |  1.37  1.37 |   8
oo_huff  |    2379     -   |    3161     -   |  1.36   -   |   8
oo_tans  |     818     -   |    2422     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     514    2427 |   10744   11690 |  4.60  4.57 |   8
pha      |     480    1986 |    6332    6700 |  6.13  6.07 |   8
td_naive |     188     275 |     929     949 |  4.63  4.59 |   8
td_scl_opt |     262     481 |    1408    1465 |  4.60  4.58 |   8
td_nv_simd |     189     273 |    2664    2865 |  4.63  4.59 |   8
td_simdopt |     498    2463 |    5752    5845 |  4.60  4.58 |   8
huf0     |    1302     -   |    2563     -   |  4.79   -   |   8
huf0_4x2 |    1244    2787 |    2645    2698 |  4.79  4.78 |   8
fse_stk  |     621     876 |     666     687 |  6.42  6.50 |   8
fse_x8y1 |     374     867 |     652     672 |  6.49  6.50 |   8
oo_huff  |    1615     -   |    3381     -   |  4.79   -   |   8
oo_tans  |     705     -   |    2464     -   |  6.44   -   |   8

