[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     540     766 |    2376    2323 |  1.34  1.33 |   8
pha      |     517     700 |    2298    2061 |  1.34  1.34 |   8
td_naive |      36      37 |      47      46 |  1.34  1.33 |   8
td_scl_opt |      86      86 |      90      85 |  1.34  1.33 |   8
td_nv_simd |      36      37 |     628     625 |  1.34  1.33 |   8
td_simdopt |     519     788 |    1137    1113 |  1.34  1.33 |   8
huf0     |     965     -   |    1491     -   |  1.36   -   |   8
huf0_4x2 |     966    1623 |    1327    1358 |  1.36  1.36 |   8
fse_stk  |     483     606 |     569     581 |  1.37  1.37 |   8
fse_x8y1 |     606     912 |    1155    1246 |  1.37  1.37 |   8
oo_huff  |    1106     -   |    1791     -   |  1.36   -   |   8
oo_tans  |     375     -   |    1426     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     368    1394 |    5454    5865 |  4.60  4.57 |   8
pha      |     348    1137 |    3436    3611 |  6.13  6.07 |   8
td_naive |     140     200 |     227     227 |  4.63  4.59 |   8
td_scl_opt |     189     323 |     401     414 |  4.60  4.58 |   8
td_nv_simd |     140     201 |    1413    1408 |  4.63  4.59 |   8
td_simdopt |     348    1320 |    3782    3790 |  4.60  4.58 |   8
huf0     |     851     -   |    1852     -   |  4.79   -   |   8
huf0_4x2 |     851    1627 |    1898    1965 |  4.79  4.78 |   8
fse_stk  |     446     608 |     477     489 |  6.42  6.50 |   8
fse_x8y1 |     276     608 |     469     489 |  6.49  6.50 |   8
oo_huff  |    1021     -   |    1773     -   |  4.79   -   |   8
oo_tans  |     368     -   |    1441     -   |  6.44   -   |   8

