fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     490     706 |    1788    2338 |  1.34  1.33 |   8
pha      |     471     652 |    1738    2072 |  1.34  1.34 |   8
td_naive |      35      36 |      46      46 |  1.34  1.33 |   8
td_scl_opt |      86      86 |      90      85 |  1.34  1.33 |   8
td_nv_simd |      35      36 |     626     624 |  1.34  1.33 |   8
td_simdopt |     492     728 |    1135    1116 |  1.34  1.33 |   8
huf0     |     961     -   |    1490     -   |  1.36   -   |   8
huf0_4x2 |     961    1618 |    1328    1357 |  1.36  1.36 |   8
fse_stk  |     483     605 |     569     581 |  1.37  1.37 |   8
fse_x8y1 |     606     912 |    1172    1238 |  1.37  1.37 |   8
oo_huff  |    1110     -   |    1791     -   |  1.36   -   |   8
oo_tans  |     373     -   |    1433     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     349    1276 |    2898    5897 |  4.60  4.57 |   8
pha      |     331    1052 |    2187    3607 |  6.13  6.07 |   8
td_naive |     139     198 |     225     225 |  4.63  4.59 |   8
td_scl_opt |     189     323 |     399     412 |  4.60  4.58 |   8
td_nv_simd |     139     198 |    1398    1389 |  4.63  4.59 |   8
td_simdopt |     347    1306 |    3785    3805 |  4.60  4.58 |   8
huf0     |     850     -   |    1848     -   |  4.79   -   |   8
huf0_4x2 |     850    1627 |    1898    1968 |  4.79  4.78 |   8
fse_stk  |     448     608 |     477     489 |  6.42  6.50 |   8
fse_x8y1 |     277     607 |     470     489 |  6.49  6.50 |   8
oo_huff  |    1027     -   |    1771     -   |  4.79   -   |   8
oo_tans  |     369     -   |    1446     -   |  6.44   -   |   8

