fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     510     710 |    2384    2338 |  1.34  1.33 |   8
pha      |     489     650 |    2255    2071 |  1.34  1.34 |   8
td_naive |      36      36 |      47      46 |  1.34  1.33 |   8
td_scl_opt |      85      86 |      90      85 |  1.34  1.33 |   8
td_nv_simd |      36      36 |     626     625 |  1.34  1.33 |   8
td_simdopt |     491     729 |    1138    1117 |  1.34  1.33 |   8
huf0     |     969     -   |    1486     -   |  1.36   -   |   8
huf0_4x2 |     969    1619 |    1327    1358 |  1.36  1.36 |   8
fse_stk  |     482     606 |     569     582 |  1.37  1.37 |   8
fse_x8y1 |     606     912 |    1164    1239 |  1.37  1.37 |   8
oo_huff  |    1111     -   |    1793     -   |  1.36   -   |   8
oo_tans  |     374     -   |    1434     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     360    1275 |    5584    5879 |  4.60  4.57 |   8
pha      |     340    1059 |    3487    3614 |  6.13  6.07 |   8
td_naive |     140     200 |     227     228 |  4.63  4.59 |   8
td_scl_opt |     189     325 |     400     414 |  4.60  4.58 |   8
td_nv_simd |     140     200 |    1404    1397 |  4.63  4.59 |   8
td_simdopt |     347    1308 |    3783    3804 |  4.60  4.58 |   8
huf0     |     848     -   |    1793     -   |  4.79   -   |   8
huf0_4x2 |     848    1625 |    1901    1970 |  4.79  4.78 |   8
fse_stk  |     449     608 |     477     489 |  6.42  6.50 |   8
fse_x8y1 |     277     608 |     469     489 |  6.49  6.50 |   8
oo_huff  |    1027     -   |    1773     -   |  4.79   -   |   8
oo_tans  |     368     -   |    1446     -   |  6.44   -   |   8

