fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1104    1977 |    5445    5680 |  1.34  1.33 |   8
pha      |    1024    1615 |    4988    4345 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      83      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1141    1132 |  1.34  1.33 |   8
td_simdopt |    1013    2194 |    2524    2435 |  1.34  1.33 |   8
huf0     |    1292     -   |    1501     -   |  1.36   -   |   8
huf0_4x2 |    1293    2061 |    1326    1355 |  1.36  1.36 |   8
fse_stk  |     616     747 |     525     531 |  1.37  1.37 |   8
fse_x8y1 |     737     965 |    1327    1398 |  1.37  1.37 |   8
oo_huff  |    1319     -   |    2111     -   |  1.36   -   |   8
oo_tans  |     484     -   |    1406     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     511    3930 |    8866   11627 |  4.60  4.57 |   8
pha      |     475    2501 |    4653    5328 |  6.13  6.07 |   8
td_naive |     145     199 |     214     216 |  4.63  4.59 |   8
td_scl_opt |     200     326 |     418     441 |  4.60  4.58 |   8
td_nv_simd |     145     199 |    1651    1634 |  4.63  4.59 |   8
td_simdopt |     488    4998 |    7732    8098 |  4.65  4.62 |   8
huf0     |    1085     -   |    1880     -   |  4.79   -   |   8
huf0_4x2 |    1082    2046 |    1905    1983 |  4.79  4.78 |   8
fse_stk  |     560     751 |     536     547 |  6.42  6.50 |   8
fse_x8y1 |     340     748 |     528     548 |  6.49  6.50 |   8
oo_huff  |    1174     -   |    2108     -   |  4.79   -   |   8
oo_tans  |     468     -   |    1443     -   |  6.44   -   |   8

