[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     569     766 |    2394    2337 |  1.34  1.33 |   8
pha      |     544     698 |    2301    2041 |  1.34  1.34 |   8
td_naive |      36      36 |      47      46 |  1.34  1.33 |   8
td_scl_opt |      86      86 |      90      85 |  1.34  1.33 |   8
td_nv_simd |      36      36 |     628     626 |  1.34  1.33 |   8
td_simdopt |     545     786 |    1138    1116 |  1.34  1.33 |   8
huf0     |     963     -   |    1492     -   |  1.36   -   |   8
huf0_4x2 |     964    1620 |    1328    1359 |  1.36  1.36 |   8
fse_stk  |     481     606 |     569     580 |  1.37  1.37 |   8
fse_x8y1 |     606     912 |    1169    1260 |  1.37  1.37 |   8
oo_huff  |    1118     -   |    1793     -   |  1.36   -   |   8
oo_tans  |     374     -   |    1431     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     728    1390 |    5536    5845 |  4.60  4.57 |   8
pha      |     654    1133 |    3479    3618 |  6.13  6.07 |   8
td_naive |     173     200 |     227     228 |  4.63  4.59 |   8
td_scl_opt |     253     322 |     401     414 |  4.60  4.58 |   8
td_nv_simd |     173     200 |    1409    1402 |  4.63  4.59 |   8
td_simdopt |     651    1312 |    3778    3803 |  4.60  4.58 |   8
huf0     |     851     -   |    1852     -   |  4.79   -   |   8
huf0_4x2 |     851    1627 |    1903    1971 |  4.79  4.78 |   8
fse_stk  |     448     608 |     477     489 |  6.42  6.50 |   8
fse_x8y1 |     276     608 |     469     489 |  6.49  6.50 |   8
oo_huff  |    1022     -   |    1773     -   |  4.79   -   |   8
oo_tans  |     368     -   |    1443     -   |  6.44   -   |   8

