fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     534     758 |    2381    2335 |  1.34  1.33 |   8
pha      |     511     690 |    2301    2062 |  1.34  1.34 |   8
td_naive |      35      36 |      46      46 |  1.34  1.33 |   8
td_scl_opt |      86      86 |      91      86 |  1.34  1.33 |   8
td_nv_simd |      35      36 |     626     624 |  1.34  1.33 |   8
td_simdopt |     490     729 |    1135    1114 |  1.34  1.33 |   8
huf0     |     968     -   |    1491     -   |  1.36   -   |   8
huf0_4x2 |     968    1620 |    1328    1358 |  1.36  1.36 |   8
fse_stk  |     482     606 |     568     581 |  1.37  1.37 |   8
fse_x8y1 |     605     912 |    1154    1239 |  1.37  1.37 |   8
oo_huff  |    1111     -   |    1791     -   |  1.36   -   |   8
oo_tans  |     374     -   |    1430     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     360    1286 |    5490    5863 |  4.60  4.57 |   8
pha      |     340    1059 |    3446    3610 |  6.13  6.07 |   8
td_naive |     139     197 |     225     225 |  4.63  4.59 |   8
td_scl_opt |     189     325 |     402     414 |  4.60  4.58 |   8
td_nv_simd |     139     198 |    1404    1397 |  4.63  4.59 |   8
td_simdopt |     347    1307 |    3783    3802 |  4.60  4.58 |   8
huf0     |     848     -   |    1849     -   |  4.79   -   |   8
huf0_4x2 |     849    1626 |    1902    1971 |  4.79  4.78 |   8
fse_stk  |     449     607 |     476     489 |  6.42  6.50 |   8
fse_x8y1 |     277     608 |     469     489 |  6.49  6.50 |   8
oo_huff  |    1023     -   |    1771     -   |  4.79   -   |   8
oo_tans  |     369     -   |    1446     -   |  6.44   -   |   8

