fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
pha      |    1495    3837 |    3784    5450 |  1.00  1.00 |   8
td_naive |      33      34 |     231     255 |  0.99  0.99 |   8
td_scl_opt |     774    1161 |    1276    2687 |  1.00  1.00 |   8
td_nv_simd |      33      34 |     662     995 |  0.99  0.99 |   8
td_simdopt |    1519    3787 |    1709    5493 |  1.00  1.00 |   8
huf0       (n/a)
huf0_stk   (n/a)
fse_stk    (n/a)
fse_x8y1 |    1260    1949 |    1960    2078 |  0.99  1.00 |   8
oo_huff    (n/a)
oo_tans    (n/a)

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1040    1916 |    5238    6562 |  1.86  1.87 |   8
pha      |    1062    1862 |    5256    6578 |  1.86  1.87 |   8
td_naive |      63      65 |     397     472 |  1.87  1.88 |   8
td_scl_opt |     145     154 |     563     751 |  1.86  1.87 |   8
td_nv_simd |      63      64 |    1098    1999 |  1.87  1.88 |   8
td_simdopt |    1041    1892 |    1278    2859 |  1.86  1.87 |   8
huf0     |    1743    2784 |    2639    2671 |  1.88  1.88 |   8
huf0_stk |    1742     -   |    2576     -   |  1.88   -   |   8
fse_stk  |     733     866 |     843     834 |  1.89  1.89 |   8
fse_x8y1 |    1061    1928 |    1984    2090 |  1.89  1.89 |   8
oo_huff  |    2466     -   |    3176     -   |  1.88   -   |   8
oo_tans  |     821     -   |    2482     -   |  1.89   -   |   8

== zipfian          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     810    1550 |    2442    4747 |  1.26  1.27 |   8
pha      |     811    1550 |    2444    4768 |  1.26  1.27 |   8
td_naive |      42      44 |     265     308 |  1.26  1.26 |   8
td_scl_opt |      95     111 |     412     583 |  1.26  1.27 |   8
td_nv_simd |      42      44 |     638    1018 |  1.26  1.26 |   8
td_simdopt |     818    1554 |    1030    2457 |  1.26  1.27 |   8
huf0     |    1685    2859 |    1958    1965 |  1.28  1.28 |   8
huf0_stk |    1709     -   |    1869     -   |  1.28   -   |   8
fse_stk  |     743     849 |     812     822 |  1.28  1.29 |   8
fse_x8y1 |    1101    1924 |    1936    2183 |  1.28  1.29 |   8
oo_huff  |    2419     -   |    3088     -   |  1.28   -   |   8
oo_tans  |     787     -   |    2474     -   |  1.28   -   |   8

== sparse_4         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     969    3481 |   29372   52168 |  3.98  4.00 |   8
pha      |     968    3601 |   30218   53773 |  3.98  4.00 |   8
td_naive |     125     138 |     504     874 |  3.98  4.00 |   8
td_scl_opt |     677    1448 |     861    2627 |  3.98  4.00 |   8
td_nv_simd |     125     138 |     928    3051 |  3.98  4.00 |   8
td_simdopt |     968    3602 |    1281   53499 |  3.98  4.00 |   8
huf0     |    1528    2917 |    5453    5419 |  4.00  4.00 |   8
huf0_stk |    1593     -   |    5364     -   |  4.00   -   |   8
fse_stk  |     655     846 |     917    1030 |  4.00  4.00 |   8
fse_x8y1 |     731    1937 |    1925    2197 |  4.00  4.00 |   8
oo_huff  |    2036     -   |    3178     -   |  4.00   -   |   8
oo_tans  |     771     -   |    2494     -   |  4.00   -   |   8

== sparse_16        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1502    3988 |   27667   56988 |  2.00  2.00 |   8
pha      |    1508    3781 |   25086   52429 |  2.00  2.00 |   8
td_naive |      66      68 |     421     501 |  1.99  2.00 |   8
td_scl_opt |     900    1369 |    1303    2639 |  2.00  2.00 |   8
td_nv_simd |      66      68 |    1187    2120 |  1.99  2.00 |   8
td_simdopt |    1485    3632 |    2533   51654 |  2.00  2.00 |   8
huf0     |    1785    2779 |    4801    4879 |  2.00  2.00 |   8
huf0_stk |    1817     -   |    4734     -   |  2.00   -   |   8
fse_stk  |     722     864 |     833     906 |  2.00  2.00 |   8
fse_x8y1 |    1074    1891 |    1829    1969 |  2.00  2.00 |   8
oo_huff  |    2355     -   |    3094     -   |  2.00   -   |   8
oo_tans  |     814     -   |    2490     -   |  2.00   -   |   8

== geometric        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     599    2296 |    7353   10180 |  3.90  3.92 |   8
pha      |     603    2224 |    7442   10044 |  3.90  3.92 |   8
td_naive |     117     138 |     431     865 |  3.96  3.96 |   8
td_scl_opt |     154     188 |     449     968 |  3.90  3.92 |   8
td_nv_simd |     117     136 |     653    2964 |  3.96  3.96 |   8
td_simdopt |     600    2326 |     710    4013 |  3.90  3.92 |   8
huf0       (n/a)
huf0_stk |    1377     -   |    2617     -   |  3.98   -   |   8
fse_stk  |     664     851 |     777     814 |  3.99  3.99 |   8
fse_x8y1 |     560    1924 |    1469    2074 |  3.99  3.99 |   8
oo_huff  |    1902     -   |    3172     -   |  3.98   -   |   8
oo_tans  |     737     -   |    2528     -   |  3.99   -   |   8

== two_sym_eq       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     588    2964 |   19418   26479 |  7.93  7.98 |   8
pha      |     598    3144 |   19600   26412 |  7.93  7.98 |   8
td_naive |     201     275 |     487    1418 |  7.94  7.99 |   8
td_scl_opt |     245     368 |     527    1843 |  7.93  7.98 |   8
td_nv_simd |     204     278 |     631    3845 |  7.94  7.99 |   8
td_simdopt |     596    3108 |     733   26346 |  7.93  7.98 |   8
huf0     |    1321    2858 |    5476    5548 |  7.99  7.99 |   8
huf0_stk |    1321     -   |    5436     -   |  7.99   -   |   8
fse_stk  |     640     870 |     793     749 |  8.00  8.00 |   8
fse_x8y1 |     389     844 |     775     737 |  8.00  8.00 |   8
oo_huff  |    1688     -   |    3151     -   |  7.99   -   |   8
oo_tans  |     709     -   |    2470     -   |  7.99   -   |   8

== two_sym_90/10    ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     519    2890 |   19600   27450 |  7.93  7.98 |   8
pha      |     515    2426 |    8666    9939 | 16.20 16.43 |   8
td_naive |     395     969 |     445    1360 |  7.94  7.99 |   8
td_scl_opt |     401    1004 |     496    2016 |  7.93  7.98 |   8
td_nv_simd |     393     966 |     561    3807 |  7.94  7.99 |   8
td_simdopt |     538    3043 |     635   26546 |  7.93  7.98 |   8
huf0     |    1260    2897 |    5246    5334 |  7.99  7.99 |   8
huf0_stk |    1264     -   |    5140     -   |  7.99   -   |   8
fse_stk  |     641     855 |     659     660 | 17.04 17.05 |   8
fse_x8y1 |     366     889 |     639     683 | 17.04 17.05 |   8
oo_huff  |    1606     -   |    3139     -   |  7.99   -   |   8
oo_tans  |     689     -   |    2620     -   | 17.00   -   |   8

== flat_M3          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1191    3168 |   16308   22696 |  2.66  2.67 |   8
pha      |    1232    3144 |   16435   22795 |  2.66  2.67 |   8
td_naive |      87      91 |     476     640 |  2.66  2.66 |   8
td_scl_opt |     814    1444 |    1095    2651 |  2.66  2.67 |   8
td_nv_simd |      87      91 |    1068    2558 |  2.66  2.66 |   8
td_simdopt |    1162    3070 |    1751   23147 |  2.66  2.67 |   8
huf0     |    1689    2775 |    5551    5616 |  2.67  2.67 |   8
huf0_stk |    1685     -   |    5528     -   |  2.67   -   |   8
fse_stk  |     710     849 |     832     937 |  2.67  2.67 |   8
fse_x8y1 |     927    1949 |    1919    2199 |  2.67  2.67 |   8
oo_huff  |    2190     -   |    3098     -   |  2.67   -   |   8
oo_tans  |     792     -   |    2485     -   |  2.67   -   |   8

== flat_M5          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1342    2401 |   15219   25146 |  1.60  1.60 |   8
pha      |    1344    2470 |   15353   24557 |  1.60  1.60 |   8
td_naive |      53      54 |     363     409 |  1.59  1.60 |   8
td_scl_opt |     901    1275 |    1443    2667 |  1.60  1.60 |   8
td_nv_simd |      53      54 |    1150    1814 |  1.59  1.60 |   8
td_simdopt |    1357    2422 |    2906   25086 |  1.60  1.60 |   8
huf0     |    1848    2781 |    5347    5622 |  1.60  1.60 |   8
huf0_stk |    1855     -   |    5530     -   |  1.60   -   |   8
fse_stk  |     729     865 |     810     874 |  1.60  1.60 |   8
fse_x8y1 |    1183    1861 |    1954    2078 |  1.60  1.60 |   8
oo_huff  |    2558     -   |    3195     -   |  1.60   -   |   8
oo_tans  |     819     -   |    2485     -   |  1.60   -   |   8

== flat_M6          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1378    2468 |   11943   21098 |  1.33  1.33 |   8
pha      |    1354    2423 |   11929   21098 |  1.33  1.33 |   8
td_naive |      44      45 |     313     348 |  1.33  1.33 |   8
td_scl_opt |     900    1247 |    1465    2643 |  1.33  1.33 |   8
td_nv_simd |      44      45 |    1034    1575 |  1.33  1.33 |   8
td_simdopt |    1415    2329 |    2856   21141 |  1.33  1.33 |   8
huf0     |    1866    2781 |    4609    5369 |  1.33  1.33 |   8
huf0_stk |    1870     -   |    4603     -   |  1.33   -   |   8
fse_stk  |     768     845 |     838     832 |  1.33  1.33 |   8
fse_x8y1 |    1241    1815 |    1955    2029 |  1.33  1.33 |   8
oo_huff  |    2709     -   |    3167     -   |  1.33   -   |   8
oo_tans  |     816     -   |    2492     -   |  1.33   -   |   8

== flat_M7          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1287    2316 |    3907    5217 |  1.14  1.14 |   8
pha      |    1282    2306 |    4146    5222 |  1.14  1.14 |   8
td_naive |      38      39 |     272     299 |  1.13  1.13 |   8
td_scl_opt |     850    1225 |    1407    2639 |  1.14  1.14 |   8
td_nv_simd |      38      39 |     853    1301 |  1.13  1.13 |   8
td_simdopt |    1288    2335 |    1907    5194 |  1.14  1.14 |   8
huf0     |    1871    2781 |    2825    2849 |  1.14  1.14 |   8
huf0_stk |    1819     -   |    3554     -   |  1.14   -   |   8
fse_stk  |     749     842 |     824     828 |  1.14  1.14 |   8
fse_x8y1 |    1236    1916 |    1964    2062 |  1.14  1.14 |   8
oo_huff  |    2622     -   |    3112     -   |  1.14   -   |   8
oo_tans  |     811     -   |    2439     -   |  1.14   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     936    1627 |    2970    4685 |  1.41  1.40 |   8
pha      |     926    1588 |    2965    4681 |  1.41  1.40 |   8
td_naive |      48      50 |     305     357 |  1.40  1.40 |   8
td_scl_opt |     111     119 |     467     592 |  1.41  1.40 |   8
td_nv_simd |      48      50 |     863    1390 |  1.40  1.40 |   8
td_simdopt |     944    1598 |    1153    2326 |  1.41  1.40 |   8
huf0     |    1761    2775 |    2288    2413 |  1.44  1.45 |   8
huf0_stk |    1766     -   |    2384     -   |  1.44   -   |   8
fse_stk  |     729     886 |     819     853 |  1.45  1.46 |   8
fse_x8y1 |    1182    1924 |    1941    2093 |  1.45  1.46 |   8
oo_huff  |    2297     -   |    3292     -   |  1.44   -   |   8
oo_tans  |     807     -   |    2454     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     905    1617 |    3889    5150 |  1.72  1.72 |   8
pha      |     844    1444 |    3645    5450 |  1.72  1.72 |   8
td_naive |      58      60 |     357     435 |  1.73  1.72 |   8
td_scl_opt |     105     109 |     460     584 |  1.72  1.72 |   8
td_nv_simd |      58      60 |     930    1789 |  1.73  1.72 |   8
td_simdopt |     913    1632 |    1117    2422 |  1.72  1.72 |   8
huf0     |    1708    2784 |    2482    2762 |  1.74  1.75 |   8
huf0_stk |    1716     -   |    2478     -   |  1.74   -   |   8
fse_stk  |     740     862 |     840     830 |  1.76  1.76 |   8
fse_x8y1 |    1060    1928 |    1920    2086 |  1.76  1.76 |   8
oo_huff  |    2322     -   |    3376     -   |  1.75   -   |   8
oo_tans  |     802     -   |    2471     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     919    1613 |    2578    4024 |  1.00  1.00 |   8
pha      |     957    1631 |    2655    4028 |  1.00  1.00 |   8
td_naive |      33      34 |     231     257 |  1.00  1.00 |   8
td_scl_opt |     156     158 |     577     719 |  1.00  1.00 |   8
td_nv_simd |      33      34 |     619     951 |  1.00  1.00 |   8
td_simdopt |     985    1627 |    1210    2341 |  1.00  1.00 |   8
huf0     |    1746    2841 |    1389    1388 |  1.01  1.01 |   8
huf0_stk |    1744     -   |    1402     -   |  1.01   -   |   8
fse_stk  |     747     851 |     832     841 |  1.01  1.01 |   8
fse_x8y1 |    1255    1924 |    1970    2081 |  1.01  1.01 |   8
oo_huff  |    2594     -   |    3148     -   |  1.01   -   |   8
oo_tans  |     803     -   |    2403     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     932    1555 |    3397    4625 |  1.51  1.51 |   8
pha      |     930    1545 |    3399    4627 |  1.51  1.51 |   8
td_naive |      51      53 |     331     382 |  1.51  1.51 |   8
td_scl_opt |     103     109 |     459     571 |  1.51  1.51 |   8
td_nv_simd |      51      52 |     949    1652 |  1.51  1.51 |   8
td_simdopt |     940    1571 |    1188    2370 |  1.51  1.51 |   8
huf0     |    1764    2781 |    2516    2523 |  1.53  1.53 |   8
huf0_stk |    1760     -   |    2364     -   |  1.53   -   |   8
fse_stk  |     724     891 |     849     862 |  1.53  1.54 |   8
fse_x8y1 |    1133    1927 |    1943    2089 |  1.54  1.54 |   8
oo_huff  |    2394     -   |    3164     -   |  1.53   -   |   8
oo_tans  |     820     -   |    2461     -   |  1.53   -   |   8

== source_c         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     842    1670 |    3837    5261 |  1.59  1.58 |   8
pha      |     831    1659 |    3835    5261 |  1.59  1.58 |   8
td_naive |      53      55 |     324     403 |  1.59  1.59 |   8
td_scl_opt |     116     123 |     462     637 |  1.59  1.58 |   8
td_nv_simd |      53      55 |     817    1656 |  1.59  1.59 |   8
